sehir,isim,ilce,tel,adres
Antalya İli,Escudo,Kalkan,2428443133,Hasan Altan Cad
Antalya İli,Kayı's 07 Bar & Restaurant,Manavgat,+90 242 753 5070,side mahhalesi özal caddesi 42/z1
Adana İli,Kazım Büfe,Adana,0322 458 2946,Cemalpaşa Mah.Toros; CAD. BAHADIR APT. NO:34/B
Antalya İli,Hayriye's Restaurant,Çıralı,05321560990,Beach
Antalya İli,Gironda,Kalkan,+90 242 844 1298,"Yalıboyu Mah. No:28 Kalkan, Kaş"
Antalya İli,Koreli,Manavgat,9002427532879,Kemer Mah
Antalya İli,Hasir restaurant,Alanya,905325927215,Guzel Yali caddesi no 14
Antalya İli,Rainbow BAR,Avsallar,00905362948457,D400
Antalya İli,Likya Pavilion Bar & Restaurant,Kalkan,+90 242 844 2120,Beach Front Lower
Antalya İli,Monte Lara Restaurant,Kemer,+90 242 824 73 04,Turizm Bulvarı Ulaş Shopping Center
Antalya İli,Pasa Bey Kebapcisi,Antalya,+9024-2244 9690 / 244 96 90-244 96 ,1319 Sokak No:4
Antalya İli,Chill Out Bar & Restaurant,Belek,"
",25 Sokak
Antalya İli,Village Cafe & Restaurant,Kalkan,+90 242 838 6090,Islamlar Koyu
Antalya İli,Borekci Tevfik,Serik,2415813,Sinan Mah. 1255 Sok. Ay Is Hani No:22
Antalya İli,12 Kemer,Alanya,5181111,Dimcayi Mevki Baraj Mah. No:52
Antalya İli,çınar restorant,Kalkan,+90 242 844 3355,Yali Boyu Mahellesi Hasan Altan Caddesi No 9
Antalya İli,Burger King,Alanya,5192616,Sekerhane Mah. Ataturk Cad. Agaoglu Is Hani No:39
Antalya İli,Lalezar,Belek,7102000,Ileribasi Mevki Rixos Premium Belek
Adana İli,Onur Kebap Restaurant,Adana,322-4546630,Cemal Paşa Mah. Cevat Yurdakul Cad. 280 Sok. Kardeşler Apt. No:2/A
Antalya İli,Antalya Balikevi,Antalya,242 323 18 23,Çağlayan Mh. 07230 Muratpaşa
Antalya İli,Side Paradise Restaurant,Manavgat,753 2080,Selimiye Mah. Barbaros Cad. No. 45
Antalya İli,İpek Restaurant,Demre (Kale),242-8715448,Müze Cad. No:14
Antalya İli,Mystery Steak House,Alanya,02425135164,Damlatas Cad. Carsi Mah. 71/A
Antalya İli,Route Pub Cafe Bar,Alanya,+90 242 512 1350,Saray Mahallesi Ataturk Caddesi No:58/A
Antalya İli,Thomas Bar & Restaurant,Alanya,+90(0)2425118785.,Ahmed Yesevi
Antalya İli,Hannover Restaurant,Kemer,8141906,Liman Cad. No:3/A
Antalya İli,Big Scandinavia Restaurant Steak House,Alanya,+(90)2425111400,Saray Mh. Ataturk Bulvari No:131 /A
Antalya İli,Kral künefe,Antalya,242 2297565,"Altınkum Mh. Atatürk Bulv. Demiral Apt. No: 253/1, Konyaaltı"
Antalya İli,Fez Restaurant,Kalkan,844 2101,Yalı Boyu Mah. Hasan Altun Cad. No. 8
Antalya İli,Haydar Usta Kebap Evi,Alanya,5220737,Zamanoglu cad. no:75
Adana İli,Adana Hilton SA Restaurant,Adana,+90 322 3555000 ,Sinanpasa Mah Haci Sabanci Bul. No1
Antalya İli,Kuzen Cafe,Kemer,242 814 5023,"Liman Cad., 07980 Kemer, Turkije"
Antalya İli,Paşabey Kebabcısı,Antalya,2449691,Gençlik Mah. 1319 Sok. No:4 D:1
Antalya İli,Arzum Döner,Antalya,2413123,Tuzcular Mah. Mescit Sok. No:10
Mersin (İçel),Perinas restoran cafe bar,Mersin,+90 324 238 8389,Kültür Mh. Ismet Inönü Blv. No:29/A
Antalya İli,Chef Fish House,Antalya,02422422434,Tuzcular Mah. 2. Inonu Caddesi No 38
Antalya İli,Hayat Ocakbaşı,Mahmutlar,5283305,Cumhuriyet Mah. Çakır Cad
Antalya İli,Robert's Coffee Konyaaltı Kent Meydanı,Antalya,242 2292123,"Altınkum mh. Konyaaltı Kent Meydani (Akdeniz Bulvari),D2 bağımsız bölüm,Konyaaltı"
Antalya İli,Kaptan a La Carte,Kalkan,902428441645,Kalamar Road No.18
Antalya İli,Mantar Evi,Korkuteli,"
",Antalya Yolu No:11/A Datköy
Antalya İli,Sofra Restaurant & Cafe,Manavgat,(+90) 242 753 16 13,Liman cad. gul. sok
Antalya İli,Harem A la Carte Restaurant,Belek,7100600,Acisu Mevki Gloria Golf Resort
Antalya İli,Lime Beach Restuarant Bar,Manavgat,05322337262,"Selimiye Mah, Sarmasik Sok"
Antalya İli,Jozef's Platz,Alanya,5139296,Carsi Mah. Hukumet Cad. No:5
Antalya İli,Shakespeare Coffee & Bistro,Antalya,+90 242 230 2270,Gürsu Mah. 304 Sok. No. 2 Altınkum
Antalya İli,Adanadayim Ocakbasi,Antalya,2422303701,Ogretmenevi Mh Anadolu Cd 99/A Konyaalti
Antalya İli,Golden Fizz,Manavgat,"
",Sarmasik Sk
Adana İli,Ortaköy Çorbacısı,Adana,2310392,"Turgut Özal Bulv. Parlak Gümüş Apt. No:187 K:11 Mahfesığmaz, Çukurova"
Antalya İli,Mavi Terrace Restaurant,Beldibi,05417800765,Beldibi main street
Antalya İli,Terrace Ice Cafe,Antalya,902422486309,kilicasian Mh. Hesapci Sk No:69
Antalya İli,Masa Et ve Kebap,Antalya,+(90)242 3249924,Sinanoglu Cad 73 B Muratpasa
Antalya İli,Pancho Villa Restaurant,Kemer,0242 8146451,"Merkez Mahallesi, 119 Sok No 17,"
Antalya İli,Saray Kebap Evi,Kemer,8146747,Yeni Mah. Dortyol Cad. Alpaslan Is Hani K:Zemin D:P/19
Antalya İli,Meram Cousins,Alanya,00905385473721,43-53 Damlatas Caddesi
Antalya İli,The Royal Restaurant Cafe & Bar,Manavgat,+90 541 941 8008,"Ilica Mahallesi Cumhuriyet Bulvari, 30 Sk. No:1"
Antalya İli,Agora CAFE & Restaurant,Manavgat,532 296 2615,Side Kemer Mah. 1525 Sokak
Antalya İli,Mado Cafe,Antalya,02425116490,Arapsuyu Mah. Dumlupınar Bulvarı No: 502
Antalya İli,Esinti Restoran,Kemer,00902526563303,"48850 Kemer, Mugla, Turkey"
Antalya İli,01 Guneyliler,Antalya,229 5801,Toros Mah. Ataturk Bulvari No. 88
Antalya İli,Can Restaurant,Serik,7220363,Orta Mah. Akdeniz Cad. No:4/A
Adana İli,Köfteci Ramiz Adana Optimum Outlet,Adana,+903223333111,Hacı Sabancı Bulvarı No: 28
Antalya İli,johnny's cafe bar restaurant,Kalkan,+(90)5363738009,Cumhuriyet Caddesi No:42
Antalya İli,Kaleiçi Meyhanesi,Antalya,+(90)5327163031,"Balıkpazarı Sokak Selçuk mah. no.14 ,Kaleiçi / antalya"
Antalya İli,Silvia Restaurant,Mahmutlar,"
",Just up from MahmutlarCeter
Antalya İli,Seçkin Restoran,Kaş,8361300,Atatürk Bulv. No:2
Antalya İli,Lara Balık Evi,Antalya,+90 242 229 8015,Konyaaltı Kent Meydanı
Antalya İli,Oszut,Antalya,+90(0)242 23013,100 Yil Bulv
Adana İli,Seç Baklavaları,Adana,322-4586333,Turhan Cemal Beriker Bulv. No:64
Antalya İli,Summer Love Restaurant,Alanya,+(90)2425192648,Saray Mah. M. Sukru Ulusoy Cad. No. 3/A Alanya
Antalya İli,Vikingen Restaurant,Alanya,"
",Saray mah. HacI Hamdioglu cad. No 24
Antalya İli,Up Hill Lounge,Alanya,5100200,GoldCity
Antalya İli,Botanik Restaurant,Kemer,8250013,Ulupınar koyu Merkez Mah
Hatay İli,Cinaralti Kunefe,Antakya,+90 326 212 6888,"Ayakkabicilar Carsisi, Pazar Sokak"
Antalya İli,Nasrettin Hocha,Kemer,+90 242 814 62 60,Atatu cad. 143 Sokak No:4/5Kemer/Antalya/Turkiye
Antalya İli,Corners Menu,Antalya,02422445129,Tuzcular Mah. Paşa Cami Sok. No:18
Antalya İli,Beach Cafe Bar Calista,Kemer,"
",Yali Cad. Moonlight Beach Park
