sehir,isim,ilce,adres
Bursa,"
Karinna Otel
",Bursa Otelleri,"2. Gelişim Bölgesi Volfram Yolu Uludağ, Osmangazi"
Diyarbakır,"
The Green Park Diyarbakir
",Diyarbakır Oda ve Kahvaltı / Pansiyon,Gazi Cad. No:101 Diyarbakır Merkez
Bursa,"
Green Prusa Hotel
",Bursa Oda ve Kahvaltı / Pansiyon,Sakarya Mah. Ulubatlı Hasan Bulvarı No: 80/1
Erzurum,"
Dedeman Palandoken
",Erzurum Otelleri,Kayak Yolu Palandoken
Eskişehir,"
Verman Otel
",Eskişehir Oda ve Kahvaltı / Pansiyon,Yeni Bağlar Mah. Uludağ Sok. No:2 Tepebaşı
Şahinbey,"
Tepebaşı Konakları
",Şahinbey Özel Konaklamalar,Tepebasi Mah. Prof Dr. Metin Sozen Cad. No:17
Gaziantep,"
Princess Hotel Gaziantep
",Gaziantep Otelleri,Karagöz Mah. Çamurcu Sk. No:26
Kayseri,"
Bent Hotel
",Kayseri Oda ve Kahvaltı / Pansiyon,Gevher Nesibe Mahallesi Ataturk Bulvari 40
Kerpe,"
Verd Hotel
",Kerpe Oda ve Kahvaltı / Pansiyon,Kincilli Koyu Pasaagzi Mevkii
Meram,"
İş-der Konya
",Meram Oda ve Kahvaltı / Pansiyon,Abdulaziz Mah. Kumru Sok. No:2
Konya,"
Sillehan Boutique Hotel-Restaurant-Cafe
",Konya Oda ve Kahvaltı / Pansiyon,Sille Subaşı Mahallesi
Şanlıurfa,"
Halfeti Socrates Antik Konukevleri
",Şanlıurfa Oda ve Kahvaltı / Pansiyon,Eski Halfeti Simaliye Mah. Orta Cad. No:13/1 Eski Halfeti
Kahramanmaraş,"
Grand Elbistan Otel
",Kahramanmaraş Oda ve Kahvaltı / Pansiyon,H.Esat Efendi Caddesi. Kumbet Mahallesi Elbistan
Edremit,"
Elmalı Hotel
",Edremit Oda ve Kahvaltı / Pansiyon,Yeniköy Mahallesi Elmalı Köyü Yolu Üzeri No:1
Tekirdağ,"
Sherwood Pansiyon
",Tekirdağ Oda ve Kahvaltı / Pansiyon,Gazioğlu Köyü Sahil Mah. Cicioğlu Sitesi Tekirdağ Merkez
Midyat,"
Midyat Gap Hotel
",Midyat Oda ve Kahvaltı / Pansiyon,"Batman Yolu Uzeri, No:202"
Adıyaman,"
Vadi-i Leman Hotel
",Adıyaman Oda ve Kahvaltı / Pansiyon,Hoca Ömer Mah. Gölbaşı Cad. No:2
Arapgir,"
Arapgir Nazar
",Arapgir Oda ve Kahvaltı / Pansiyon,"Berenge mh., NamIk Gedik str. No:4"
Adıyaman,"
Ünal Otel
",Adıyaman Lodge,Harıkçı Cad. No:14 Adıyaman Merkez
Malatya,"
Anatolia Butik Hotel
",Malatya Oda ve Kahvaltı / Pansiyon,Çevre Yolu No:90 Malatya Merkez
Malatya,"
Grand Sinan Hotel
",Malatya Oda ve Kahvaltı / Pansiyon,Atatürk Cad. No:6 Malatya Merkez
Malatya,"
City Kent Hotel
",Malatya Oda ve Kahvaltı / Pansiyon,"Dabakhane Mh., PTT Sk No:1"
Adıyaman,"
Nemrut Isik Pansion
",Adıyaman Oda ve Kahvaltı / Pansiyon,karadut koyu AdIyaman
Malatya,"
Malatya Palace Hotel
",Malatya Oda ve Kahvaltı / Pansiyon,Ptt Caddesi No:20
Malatya,"
Remark Hill Hotel
",Malatya Otelleri,Fuar Yolu 5 Km.
Malatya,"
Altın Kayısı Hotel
",Malatya Otelleri,İstasyon Virajı Malatya Merkez
Malatya,"
Gunes Motel Nemrut
",Malatya Otelleri,Nemrut Mount Malatya
Malatya,"
Hotel Avşar
",Malatya Otelleri,Çevre Yolu Malatya Merkez
Malatya,"
Asilzade Hotel
",Malatya Otelleri,"Ismetiye Mahallesi Y. Karaaslan Is Merkezi, No : 19 Merkez"
Darende,"
Tiryandafil Otel
",Darende Otelleri,Heyik Eteği Mah. Somuncu Baba Bulv. No:84 Darende Merkez
Malatya,"
Hanem Hotel
",Malatya Otelleri,Fuzuli Cad. No:13
Malatya,"
Anemon Malatya
",Malatya Otelleri,Ankara Karayolu 5. Km. Malatya Merkez
Malatya,"
Büyük Otel
",Malatya Otelleri,Yeni Cami Mevki No: 1 Malatya Merkez
Mardin,"
Gazi Konağı
",Mardin Oda ve Kahvaltı / Pansiyon,Şehidiye Mahallesi 1. Cad Üçyol Mevkii
Savur,"
Savur Konağı
",Savur Oda ve Kahvaltı / Pansiyon,Devlet Mah. Nezih Erdem Cad. No:5
Midyat,"
Midyat Konukevi
",Midyat Lodge,Merkez Mah. Midyat Merkez
Mardin,"
Mezopotamya Otel
",Mardin Oda ve Kahvaltı / Pansiyon,Teker Mahallesi 94. Sirin Sokak no 5
Mardin,"
Tughan Hotel
",Mardin Oda ve Kahvaltı / Pansiyon,Sar Mahallesi 1. Cad No: 351 Artuklu
Mardin,"
Artuklu Universitesi Hotel
",Mardin Oda ve Kahvaltı / Pansiyon,1. Cadde 148/B
Mardin,"
Antik Tatlidede Konagi
",Mardin Oda ve Kahvaltı / Pansiyon,Ulucami Mah. 104 Sok. No 27
Mardin,"
Ipekyolu Guesthouse
",Mardin Oda ve Kahvaltı / Pansiyon,Sar Mahallesi 228 Sokak
Mardin,"
Zinciriye Hotel
",Mardin Oda ve Kahvaltı / Pansiyon,Zinciriye Medresesi Karsisi Medrese Mahallesi Sok 243 No 13
Mardin,"
Dara Konagi
",Mardin Özel Konaklamalar,Sehidiye Mah. Unsaldi 39. Sok. No:13
Midyat,"
Grand Estel Hotel
",Midyat Otelleri,Mardin Cad. No:10 Midyat Merkez
Mardin,"
Buyuk Mardin Otel
",Mardin Otelleri,Yeniyol Caddesi Meteoroloji YanI
Mardin,"
Bilem Otel
",Mardin Otelleri,Vali Ozan Cad. Mardin Merkez
Midyat,"
Matiat Hotel
",Midyat Otelleri,Mardin Yolu 4. Km. Midyat Merkez
Mardin,"
Dunaysir Hotel
",Mardin Otelleri,Sanliurfa Cad. Ozgurluk Meydani Kiziltepe
Mardin,"
Yay Grand Hotel
",Mardin Otelleri,Diyarbakır Yolu 1. Km. Mardin Merkez
Nusaybin,"
kasri sercehan hotel
",Nusaybin Otelleri,cumhuriyet meydanı
Midyat,"
Turabdin Hotel
",Midyat Otelleri,Isiklar Mah.Manastir Cd No:17
Mardin,"
Erdoba Evleri
",Mardin Otelleri,1 Cadde No 135
Midyat,"
Otel Kasr-ı Nehroz
",Midyat Otelleri,Işıklar Mah. 219. Sok. No:14 Midyat Merkez
Midyat,"
Shmayaa Hotel
",Midyat Otelleri,Akçakaya Mah. Kışla Cad. 126 Sok. No12
Mardin,"
Maridin Butik Otel
",Mardin Otelleri,Diyarbakir Kapi Mah.1 Cad. No:455
Mardin,"
İzala Hotel
",Mardin Otelleri,Medrese mahallesi 1. cadde no:156
Mardin,"
Artuklu Kervansarayı
",Mardin Otelleri,"Savurkapı Mah. 1. Cad. No:70 Savurkapı, Mardin Merkez"
Mardin,"
Erdoba Elegance Convention Center
",Mardin Otelleri,Yalımkoy Mevkii 3 km
Mardin,"
Reyhani Kasrı Hotel
",Mardin Otelleri,Teker Mah. 1. Cad. No:163 Mardin Merkez
Balıkesir İli,"
The Marmara Hotel
",Marmara Adası,Cumhuriyet Mah. Kole Mevki
Tekirdağ,"
Poyraz Butik Hotel
",Tekirdağ Oda ve Kahvaltı / Pansiyon,"Baglarderesi Mevkii, Kumsal sokak, yeni Camii karsisi, Sahil Marmara Ereglisi / Tekirdag"
Yeniciftlik,"
Hotel Ennis Inn
",Yeniciftlik Oda ve Kahvaltı / Pansiyon,"Sahil Yolu Mevkii, Millet Cad. No 303"
