sehir,isim,ilce,adres
Bursa,"
Karinna Otel
",Bursa,"2. Gelişim Bölgesi Volfram Yolu Uludağ, Osmangazi"
Bursa,"
Green Prusa Hotel
",Bursa,Sakarya Mah. Ulubatlı Hasan Bulvarı No: 80/1
Diyarbakır,"
The Green Park Diyarbakir
",Diyarbakır,Gazi Cad. No:101 Diyarbakır Merkez
Erzurum,"
Dedeman Palandoken
",Erzurum,Kayak Yolu Palandoken
Eskişehir,"
Verman Otel
",Eskişehir,Yeni Bağlar Mah. Uludağ Sok. No:2 Tepebaşı
Kayseri,"
Bent Hotel
",Kayseri,Gevher Nesibe Mahallesi Ataturk Bulvari 40
Kerpe,"
Verd Hotel
",Kerpe,Kincilli Koyu Pasaagzi Mevkii
Şanlıurfa,"
Halfeti Socrates Antik Konukevleri
",Şanlıurfa,Eski Halfeti Simaliye Mah. Orta Cad. No:13/1 Eski Halfeti
Edremit,"
Elmalı Hotel
",Edremit,Yeniköy Mahallesi Elmalı Köyü Yolu Üzeri No:1
Tekirdağ,"
Sherwood Pansiyon
",Tekirdağ,Gazioğlu Köyü Sahil Mah. Cicioğlu Sitesi Tekirdağ Merkez
Midyat,"
Midyat Gap Hotel
",Midyat,"Batman Yolu Uzeri, No:202"
Arapgir,"
Arapgir Nazar
",Arapgir,"Berenge mh., NamIk Gedik str. No:4"
Malatya,"
Anatolia Butik Hotel
",Malatya,Çevre Yolu No:90 Malatya Merkez
Malatya,"
Grand Sinan Hotel
",Malatya,Atatürk Cad. No:6 Malatya Merkez
Malatya,"
City Kent Hotel
",Malatya,"Dabakhane Mh., PTT Sk No:1"
Malatya,"
Malatya Palace Hotel
",Malatya,Ptt Caddesi No:20
Malatya,"
Remark Hill Hotel
",Malatya,Fuar Yolu 5 Km.
Malatya,"
Hotel Avşar
",Malatya,Çevre Yolu Malatya Merkez
Malatya,"
Asilzade Hotel
",Malatya,"Ismetiye Mahallesi Y. Karaaslan Is Merkezi, No : 19 Merkez"
Darende,"
Tiryandafil Otel
",Darende,Heyik Eteği Mah. Somuncu Baba Bulv. No:84 Darende Merkez
Malatya,"
Hanem Hotel
",Malatya,Fuzuli Cad. No:13
Malatya,"
Anemon Malatya
",Malatya,Ankara Karayolu 5. Km. Malatya Merkez
Malatya,"
Büyük Otel
",Malatya,Yeni Cami Mevki No: 1 Malatya Merkez
Mardin,"
Gazi Konağı
",Mardin,Şehidiye Mahallesi 1. Cad Üçyol Mevkii
Mardin,"
Antik Tatlidede Konagi
",Mardin,Ulucami Mah. 104 Sok. No 27
Mardin,"
Zinciriye Hotel
",Mardin,Zinciriye Medresesi Karsisi Medrese Mahallesi Sok 243 No 13
Mardin,"
Dara Konagi
",Mardin,Sehidiye Mah. Unsaldi 39. Sok. No:13
Midyat,"
Grand Estel Hotel
",Midyat,Mardin Cad. No:10 Midyat Merkez
Mardin,"
Buyuk Mardin Otel
",Mardin,Yeniyol Caddesi Meteoroloji YanI
Mardin,"
Bilem Otel
",Mardin,Vali Ozan Cad. Mardin Merkez
Midyat,"
Matiat Hotel
",Midyat,Mardin Yolu 4. Km. Midyat Merkez
Mardin,"
Yay Grand Hotel
",Mardin,Diyarbakır Yolu 1. Km. Mardin Merkez
Nusaybin,"
kasri sercehan hotel
",Nusaybin,cumhuriyet meydanı
Midyat,"
Turabdin Hotel
",Midyat,Isiklar Mah.Manastir Cd No:17
Mardin,"
Erdoba Evleri
",Mardin,1 Cadde No 135
Midyat,"
Otel Kasr-ı Nehroz
",Midyat,Işıklar Mah. 219. Sok. No:14 Midyat Merkez
Mardin,"
Artuklu Kervansarayı
",Mardin,"Savurkapı Mah. 1. Cad. No:70 Savurkapı, Mardin Merkez"
Midyat,"
Shmayaa Hotel
",Midyat,Akçakaya Mah. Kışla Cad. 126 Sok. No12
Mardin,"
Maridin Butik Otel
",Mardin,Diyarbakir Kapi Mah.1 Cad. No:455
Mardin,"
İzala Hotel
",Mardin,Medrese mahallesi 1. cadde no:156
Mardin,"
Erdoba Elegance Convention Center
",Mardin,Yalımkoy Mevkii 3 km
Tekirdağ,"
Poyraz Butik Hotel
",Tekirdağ,"Baglarderesi Mevkii, Kumsal sokak, yeni Camii karsisi, Sahil Marmara Ereglisi / Tekirdag"
Yeniciftlik,"
Hotel Ennis Inn
",Yeniciftlik,"Sahil Yolu Mevkii, Millet Cad. No 303"
Tekirdağ,"
Hotel 59
",Tekirdağ,"Cengiz Topel Meydani, Muratli Cad. Ahmet Bey Bayiri No:2"
Tekirdağ,"
Rodosto Hotel
",Tekirdağ,Iskele Cad. No 34
Çorlu,"
Hotel Sefa 2
",Çorlu,Kazimiye Mah. Salih Omurtak Cad. No: 44 (Total Benzinlik Karsisi)
Tekirdağ,"
Yayoba Hotel
",Tekirdağ,Malkara Yolu 4 KmTekirdağ Merkez
Balıkesir İli,"
Ayberk Otel
",Balıkesir İli > ,"Deniz Mah. Atatürk Cad. Avşa, Marmara"
Balıkesir İli,"
Hotel Arteka
",Balıkesir İli > ,Çuğra Mevki Ali Haydar Sarı Sahil Parkı Erdek Merkez
Çorlu,"
Hotel Sefa 1
",Çorlu,Muhittin Mah. Salih Omurtak Cad. No: 43 Halk Egitim Mrk
Çerkezköy,"
Pasha Hotel Cerkezkoy
",Çerkezköy,District Fevzipasa Guvenis Street W/S/H Road No: 80
Çorlu,"
Elit Otel
",Çorlu,"Muhittin Mah. Hacı Salih Sok. No:6 Sanayi, Çorlu"
Çerkezköy,"
City Hotel
",Çerkezköy,Ataturk Caddesi No 97
Çerkezköy,"
Business Suite Hotel
",Çerkezköy,"Ismet Pasa Mah. Bulent Ecevit, Cd. 33 Sk. No 3"
Çorlu,"
Shilla Hotel
",Çorlu,Corlu Cerkezkoy Yolu Velimese Istasyonu Karsisi 1. Cad. No: 1
Çerkezköy,"
Golden Palas Hotel
",Çerkezköy,G.O. Pasa Mah. Ataturk Cad. No 121 (Across Kipa) Cerkezko
Çerkezköy,"
Gabrali Otel
",Çerkezköy,Ataturk Cad. No:45
Tekirdağ,"
Golden Yat Hotel
",Tekirdağ,Ertuğrul Mah. Yali Cad. No:21 Süleymanpasa/Tekirdağ
London Özel Konaklamalar,"
Sheltowee Camp
",London,124 London Dock Rd
Caryville Oda ve Kahvaltı / Pansiyon,"
Budget Host Inn
",Caryville,115 Woods Ave.
Harlan Oda ve Kahvaltı / Pansiyon,"
Mount Aire Motel
",Harlan,355 Skidmore Drive
Cumberland Gap Oda ve Kahvaltı / Pansiyon,"
Cumberland Gap Inn
",Cumberland Gap,630 Brooklyn St
Clinton Kamp Alanları,"
Clinton / Knoxville North KOA
",Clinton,2423 N Charles Seivers Blvd.
Bronston Oda ve Kahvaltı / Pansiyon,"
The Acorn and Fox Inn
",Bronston,85 Noble Oaks Drive
Burnside Oda ve Kahvaltı / Pansiyon,"
Eagles View Bed & Breakfast
",Burnside,45 Glen Eagle Drive
Cumberland Gap Oda ve Kahvaltı / Pansiyon,"
The Olde Mill Inn Bed & Breakfast
",Cumberland Gap,603 Pennlyn Ave
Stearns Oda ve Kahvaltı / Pansiyon,"
Big South Fork Motor Lodge
",Stearns,Bruce Street
Van,"
Madi Otel
",Van,"Emin Paşa Mah. Edremit Yolu 5. Km. İskele, Van Merkez"
Van,"
Akdamar Otel
",Van,Kazım Karabekir Cad. No:9
Van,"
Yakut Otel
",Van,Kazım Karabekir Cad. Ptt Sok. No:8 Van Merkez
Van,"
Hotel Dosco
",Van,Valimithatbey mah. Kocibey cad. no 22 Ipekyolu
