sehir,isim,adres
Bursa,"
Karinna Otel
","2. Gelişim Bölgesi Volfram Yolu Uludağ, Osmangazi"
Bursa,"
Green Prusa Hotel
",Sakarya Mah. Ulubatlı Hasan Bulvarı No: 80/1
Diyarbakır,"
The Green Park Diyarbakir
",Gazi Cad. No:101 Diyarbakır Merkez
Erzurum,"
Dedeman Palandoken
",Kayak Yolu Palandoken
Erzurum,"
Otel Bey
",Cumhuriyet Caddesi 8 Yakutiye
Kerpe,"
Verd Hotel
",Kincilli Koyu Pasaagzi Mevkii
Gaziantep,"
Princess Hotel Gaziantep
",Karagöz Mah. Çamurcu Sk. No:26
Meram,"
İş-der Konya
",Abdulaziz Mah. Kumru Sok. No:2
Şanlıurfa,"
Halfeti Socrates Antik Konukevleri
",Eski Halfeti Simaliye Mah. Orta Cad. No:13/1 Eski Halfeti
Edremit,"
Elmalı Hotel
",Yeniköy Mahallesi Elmalı Köyü Yolu Üzeri No:1
Şahinbey,"
Tepebaşı Konakları
",Tepebasi Mah. Prof Dr. Metin Sozen Cad. No:17
Konya,"
Sillehan Boutique Hotel-Restaurant-Cafe
",Sille Subaşı Mahallesi
Midyat,"
Midyat Gap Hotel
","Batman Yolu Uzeri, No:202"
Kayseri,"
Bent Hotel
",Gevher Nesibe Mahallesi Ataturk Bulvari 40
Tekirdağ,"
Sherwood Pansiyon
",Gazioğlu Köyü Sahil Mah. Cicioğlu Sitesi Tekirdağ Merkez
Kahramanmaraş,"
Grand Elbistan Otel
",H.Esat Efendi Caddesi. Kumbet Mahallesi Elbistan
Adıyaman,"
Vadi-i Leman Hotel
",Hoca Ömer Mah. Gölbaşı Cad. No:2
Arapgir,"
Arapgir Nazar
","Berenge mh., NamIk Gedik str. No:4"
Adıyaman,"
Ünal Otel
",Harıkçı Cad. No:14 Adıyaman Merkez
Malatya,"
Anatolia Butik Hotel
",Çevre Yolu No:90 Malatya Merkez
Malatya,"
Grand Sinan Hotel
",Atatürk Cad. No:6 Malatya Merkez
Malatya,"
City Kent Hotel
","Dabakhane Mh., PTT Sk No:1"
Adıyaman,"
Nemrut Isik Pansion
",karadut koyu AdIyaman
Malatya,"
Malatya Palace Hotel
",Ptt Caddesi No:20
Malatya,"
Remark Hill Hotel
",Fuar Yolu 5 Km.
Malatya,"
Altın Kayısı Hotel
",İstasyon Virajı Malatya Merkez
Malatya,"
Gunes Motel Nemrut
",Nemrut Mount Malatya
Malatya,"
Hotel Avşar
",Çevre Yolu Malatya Merkez
Malatya,"
Asilzade Hotel
","Ismetiye Mahallesi Y. Karaaslan Is Merkezi, No : 19 Merkez"
Darende,"
Tiryandafil Otel
",Heyik Eteği Mah. Somuncu Baba Bulv. No:84 Darende Merkez
Malatya,"
Hanem Hotel
",Fuzuli Cad. No:13
Malatya,"
Anemon Malatya
",Ankara Karayolu 5. Km. Malatya Merkez
Malatya,"
Büyük Otel
",Yeni Cami Mevki No: 1 Malatya Merkez
Mardin,"
Gazi Konağı
",Şehidiye Mahallesi 1. Cad Üçyol Mevkii
Savur,"
Savur Konağı
",Devlet Mah. Nezih Erdem Cad. No:5
Midyat,"
Midyat Konukevi
",Merkez Mah. Midyat Merkez
Mardin,"
Mezopotamya Otel
",Teker Mahallesi 94. Sirin Sokak no 5
Mardin,"
Tughan Hotel
",Sar Mahallesi 1. Cad No: 351 Artuklu
Mardin,"
Artuklu Universitesi Hotel
",1. Cadde 148/B
Mardin,"
Antik Tatlidede Konagi
",Ulucami Mah. 104 Sok. No 27
Mardin,"
Ipekyolu Guesthouse
",Sar Mahallesi 228 Sokak
Mardin,"
Zinciriye Hotel
",Zinciriye Medresesi Karsisi Medrese Mahallesi Sok 243 No 13
Mardin,"
Dara Konagi
",Sehidiye Mah. Unsaldi 39. Sok. No:13
Mardin,"
Dunaysir Hotel
",Sanliurfa Cad. Ozgurluk Meydani Kiziltepe
Mardin,"
Yay Grand Hotel
",Diyarbakır Yolu 1. Km. Mardin Merkez
Mardin,"
Buyuk Mardin Otel
",Yeniyol Caddesi Meteoroloji YanI
Midyat,"
Grand Estel Hotel
",Mardin Cad. No:10 Midyat Merkez
Midyat,"
Matiat Hotel
",Mardin Yolu 4. Km. Midyat Merkez
Mardin,"
Bilem Otel
",Vali Ozan Cad. Mardin Merkez
