sehir,isim,ilce,tel,adres
İl Mersin,ERDAL DİŞ LABORATUVARI,Akdeniz,0324 231 89 47,"Silifke Cad. Alanya İş Mrk. K:4 Çankaya Mah. Akdeniz, Mersin"
İl Antalya,REFORM DENTAL DİŞ LABORATUVARI,Muratpaşa,0242 243 31 68,"53. Sok. No:20 Korhan İşh. K:1 D:7-8 Kışla Mah. Muratpaşa, Antalya"
İl İstanbul,EUROLAB - EUROLAB GIDA VE LABORATUVAR HİZMETLERİ DIŞ TİC.A.Ş.,Bakırköy,0212 662 08 08,"Avcılar Sok. No:40  Şenlikköy Mah. Bakırköy, İstanbul"
İl Ankara,EVRENSEL DENTAL,Çankaya,0312 417 24 20,"Şehit Adem Yavuz Sok. No:5 D:9 Kızılay Mah. Çankaya, Ankara"
İl İstanbul,DERE DİŞ PROTEZ LABORATUVARI,Kadıköy,0216 336 62 26,"Kuşdili Cad. No:48  Osmanağa Mah. Kadıköy, İstanbul"
İl İstanbul,YÜKSEL DENTAL,Bakırköy,0212 571 33 66,"Reyhan Sok. No:18/1  Cevizlik Mah. Bakırköy, İstanbul"
İl Zonguldak,OLİMPİYAT DENTAL DİŞ LABORATUVARI - OLİMPİYAT DENTAL DİŞ LABORATUVARI SAN.TİC.LTD.ŞTİ.,Karadenizereğli,0372 323 89 94,"Orhangazi Cad. No:12 K:1 Akarca Mah. Karadenizereğli, Zonguldak"
İl İzmir,AS ANATOMİK DİŞ - AS ANATOMİK DİŞ PROTEZ LABORATUARI SAN.TİC.LTD.ŞTİ.,Bornova,0232 461 33 80,"375. Sok. No:18 Piramit İş Mrk. K:3 Kazımdirik Mah. Bornova, İzmir"
İl İzmir,ÖZEL GÖZDE DENT DİŞ PROTEZ LABORATUVARI,Konak,0232 483 95 55,"Akdeniz Cad. No:5 Akdeniz İş Mrk. K:4 D:415 Akdeniz Mah. Konak, İzmir"
İl İzmir,ANIL DENT DİŞ PROTEZ LABORATUVARI - ANIL DİŞ PROTEZ LABORATUVARI VE TİC.LTD.ŞTİ.,Konak,0232 256 20 59,"1260. Sok. No:15  Kahramanlar Mah. Konak, İzmir"
İl Ankara,CFU - CFU ULUSLARARASI SERVİS HİZMETLERİ DIŞ TİC. VE LTD.ŞTİ.,Sincan,0312 394 01 33,"Ural Cad. No:18  Fatih Mah. Sincan, Ankara"
İl İstanbul,DENTA PLUS,Bakırköy,0212 660 23 45,"İstanbul Cad. No:26 Akın 2 Apt. D:19 Cevizlik Mah. Bakırköy, İstanbul"
İl Sakarya,ÖZEL ÖZ DENTAL DİŞ LABORATUVARI,Adapazarı,0264 273 92 67,"Çark Cad. No:19 K:2 Semerciler Mah. Adapazarı, Sakarya"
İl İstanbul,TOLKİM DIŞ TİCARET - TOLKİM DIŞ TİC.LTD.ŞTİ.,Kadıköy,0216 327 37 15,"Ali Nazime Sok. No:34  Koşuyolu Mah. Kadıköy, İstanbul"
İl Antalya,KIZILIRMAK DİŞ DEPOSU - KIZILIRMAK LABORATUVAR MALZEMELERİ DİŞ DEPOSU SAN. VE TİC.LTD.ŞTİ.,Muratpaşa,0242 248 60 01,"147. Sok.  Altındağ Mah. Muratpaşa, Antalya"
İl Antalya,DİŞTEK - DİŞTEK DİŞÇİLİK SAN. VE TİC.LTD.ŞTİ.,Muratpaşa,0242 244 44 49,"485 Sok. No:5/6 Fındıklı Apt. Yüksekalan Mah. Muratpaşa, Antalya"
İl İstanbul,ÖZEL VEFA DENT DİŞ LABORATUVARI - VEFA ÖZEL SAĞLIK HİZMETLERİ SAN. VE TİC.LTD.ŞTİ.,Ümraniye,0216 344 16 37,"Mithatpaşa Cad. No:74 K:1 Atakent Mah. Ümraniye, İstanbul"
İl İstanbul,ESELER DİŞ DEPOSU VE LABORATUVARI - ESELER DİŞ DEPOSU VE LABORATUVARI LTD.ŞTİ.,Esenler,0212 629 54 02,"839 Sok. No:9  Birlik Mah. Esenler, İstanbul"
İl Şanlıurfa,EDESSA DİŞ PROTEZ,Şanlıurfa Merkez,0414 215 34 44,"Divanyolu Cad. Suna İş Mrk. K:3 D:3 Beykapusu Mah. Şanlıurfa Merkez, Şanlıurfa"
İl İstanbul,ÖZEL ATLAS DENTAL LABORATUVARI - ÖZEL ATLAS ÇOK AMAÇLI DİŞ PROTEZ LABORATUVARI LTD.ŞTİ.,Kadıköy,0216 418 38 78,"Reşit Efendi Sok. No:31 D:5 Osmanağa Mah. Kadıköy, İstanbul"
