sehir,isim,ilce,tel,adres
İl İstanbul,A PLUS DİŞ LABORATUVARI - A+ DİŞ PROTEZ SAĞLIK HİZMETLERİ İTHALAT İHRACAT TİC.LTD.ŞTİ.,Bakırköy,0212 573 00 90,"Mektep Sok. No:52 Hicret Apt. D:2 Şenlikköy Mah. Florya, Bakırköy, İstanbul"
İl Ankara,EVRENSEL DENTAL,Çankaya,0312 417 24 20,"Şehit Adem Yavuz Sok. No:5 D:9 Kızılay Mah. Çankaya, Ankara"
İl Eskişehir,KLAS DİŞ LABORATUARI - KLAS DİŞ DEPOSU VE LABORATUAR SAN. VE TİC.LTD.ŞTİ.,Tepebaşı,0222 221 75 21,"Müderris Sok. No:15  Cumhuriye Mah. Tepebaşı, Eskişehir"
İl İstanbul,ULUAS DENTAL - ULUAS MEDİKAL DİŞ SAĞLIK ÜRÜNLERİ PAZARLAMA TİC.LTD.ŞTİ.,Şişli,0212 272 93 63,"Latilokum Sok. No:70  Mecidiyeköy Mah. Şişli, İstanbul"
İl Antalya,VISION DENTAL,Muratpaşa,0242 244 79 98,"45. Sok. No:5 K:2 D:8 Kışla Mah. Muratpaşa, Antalya"
İl İstanbul,ÖZEL REYHAN DENTAL DİŞ PROTEZ LABORATUVARI,Bahçelievler,0212 442 63 65,"Şehit Yarbay Cesur Cad. Hilal Sok. No:3  Şirinevler Mah. Bahçelievler, İstanbul"
İl İstanbul,ATAK DENTAL - ATAK DİŞ LABORATUVAR HİZMETLERİ LTD.ŞTİ.,Ataşehir,0216 469 22 53,"Huzur Hoca Cad. Savaş Sok. No:15 Yıldız İş Mrk. K:4 İçerenköy Mah. Ataşehir, İstanbul"
İl Tekirdağ,MALKARA ANALİZ - MALKARA ANALİZ VE KONTROL HİZMETLERİ İÇ VE DIŞ TİC.A.Ş.,Malkara,0282 427 84 84,"Fethiye Özver Cad. No:29  Cami Atik Mah. Malkara, Tekirdağ"
İl İstanbul,MARMARA DİŞ LABORATUVARI - SUSAM DİŞ LABORATUVARI SAN.TİC.LTD.ŞTİ.,Avcılar,0212 502 87 87,"Hilal Sok. No:32  Üniversite Mah. Avcılar, İstanbul"
İl İstanbul,EUROLAB - EUROLAB GIDA VE LABORATUVAR HİZMETLERİ DIŞ TİC.A.Ş.,Bakırköy,0212 662 08 08,"Avcılar Sok. No:40  Şenlikköy Mah. Bakırköy, İstanbul"
İl İstanbul,APEX DENTAL DİŞ LABORATUVARI,Fatih,0212 517 30 04,"Gedikpaşa Cad. No:99 K:3 Mimar Hayrettin Mah. Fatih, İstanbul"
İl Bursa,VİA DİŞ PROTEZ - V.İ.A. DİŞ PROTEZ TIBBİ MALZEME VE İNŞAAT SAN.TİC.LTD.ŞTİ.,Yıldırım,0224 255 92 33,"Karlıdağ Cad. No:9  Anadolu Mah. Yıldırım, Bursa"
İl İzmir,ÖZEL GÖZDE DENT DİŞ PROTEZ LABORATUVARI,Konak,0232 483 95 55,"Akdeniz Cad. No:5 Akdeniz İş Mrk. K:4 D:415 Akdeniz Mah. Konak, İzmir"
İl Ankara,İKRA - İKRA LTD.ŞTİ.,Çankaya,0312 417 58 29,"Karanfil Sok. No:47 D:13 Kızılay Mah. Çankaya, Ankara"
İl Konya,KONDENT KONYA DENT DİŞ LABORATUVARI,Karatay,0332 351 95 97,"Mevlana Cad. Şeyh Ziya Sok. No:3/2  Şemsitebrizi Mah. Karatay, Konya"
İl Ankara,DENTAMALL - AYDOĞAN DENTAL SAĞLIK MEDİKAL KOZMETİK TİC.LTD.ŞTİ.,Çankaya,0312 431 31 81,"174 Sok. No:36/A  Göktürk Mah. Çankaya, Ankara"
İl Antalya,HOŞOĞLU DİŞ PROTEZ LABORATUVARI,Muratpaşa,0242 244 01 55,"561 Sok. No:27 Parlak Apt. D:1 Muratpaşa Mah. Muratpaşa, Antalya"
İl Samsun,ÖZEL ÇAĞRI MİLENYUM ÇOK AMAÇLI DİŞ PROTEZ LABORATUVARI - ÖZEL ÇAĞRI MİLENYUM ÇOK AMAÇLI DİŞ PROTEZ LABORATUVARI TİC.LTD.ŞTİ.,İlkadım,0362 233 59 90,"Aziz Paşa Geçidi No:8  Pazar Mah. İlkadım, Samsun"
İl Ankara,DENT CENTRAL DİŞ LABORATUVARI,Çankaya,0312 418 82 31,"Şehit Adem Yavuz Sok.  Kızılay Mah. Çankaya, Ankara"
İl Ankara,LİYA LABORATUVAR TEST CİHAZLARI - LİYA LABORATUVAR TEST CİHAZLARI İMALAT SAN. VE DIŞ TİC.LTD.ŞTİ.,Yenimahalle,0312 395 87 52,"1475 Sok. No:21 Emirağa San. Sit. İvedik Osb Mah. Yenimahalle, Ankara"
İl İzmir,ÖZEL HATAY DİŞ PROTEZ LABORATUVARI,Karabağlar,0232 255 90 57,"Saim Çıkrıkçı Cad. 9104/2. Sok. No:21  Doğanay Mah. Karabağlar, İzmir"
İl İstanbul,APEX DENTAL,Kadıköy,0216 373 37 75,"Ulus Sok. No:9 D:1 Süadiye Mah. Kadıköy, İstanbul"
İl Samsun,OLUŞUM DİŞ LABORATUVARI - ÖZEL SAMSUN OLUŞUM ÇOK AMAÇLI DİŞ PROTEZ LABORATUVARI LTD.ŞTİ.,İlkadım,0362 432 48 74,"Cebhane Sok. No:6/1  Kale Mah. İlkadım, Samsun"
