sehir,isim,ilce,tel,adres
İzmir İli,"
Cansu Motel
",Gümüldür,,Sahil Cad. No:58
Muğla İli,"
Su Değirmeni Otel
",Ölüdeniz,,Hisarönü Mah. No:4
İzmir İli,"
Tash Mekan
",Çeşme,,Alaçatı Mah. 3028 Sok. No:8
Muğla İli,"
Eylül Resort Hotel
",Bodrum,,Hortma Mevki Yali Cad. No:32
Aydın İli,"
Art Hotel
",Güzelçamlı,,Oteller Cad. No 31
Çanakkale İli Seyahat,"
AE2 Guest House
",Eceabat,,Ismetpasa Mahallesi
Muğla İli,"
Kaptan Otel Bungalows
",Selimiye,,"Selimiye Köyü Marmaris Merkez, Marmaris"
İzmir İli,"
Aladi Butik Otel
",Çeşme,,Tokoglu Mah. Kemalpasa Cad. No: 8/A
Muğla İli,"
Melisa Pansiyon
",Faralya,,Hisar Mah.8
İzmir İli,"
Beyaz Ev Hotel
",Çeşme,,Tokoglu mah.1047 sokak no:12
Muğla İli,"
Victoria'S
",Bodrum,,"Cukurbuk 1396 sokak, No:4"
Muğla İli,"
Tamara Beach
",Selimiye,,Selimiye Koyu Hanim pinari mevki No. 11
Çanakkale İli Seyahat,"
Mercan Hotel
",Gelibolu,,Güneyli Sahili Gelibolu Merkez
İzmir İli,"
Rainbow Otel
",Çeşme,,Çevre Yolu Akarca Kavşağı Çeşme Merkez
Muğla İli,"
Moonstar Hotel
",Bodrum,,Deniz Cad. No:60
İzmir İli,"
Alaris Otel
",Çeşme,,12015 sokak No:2
Muğla İli,"
Aygul Hotel
",Fethiye,,Belcekız Mevki Ölü Deniz Yolu Ölüdeniz
İzmir İli,"
Club Mackerel
",Foça,,Küçük Ayani Mevki Yeni Foça Yolu Foça Merkez
Muğla İli,"
Tas Pansiyon
",Bodrum,,"Inceyalı mevkii, Asagı Mazı koyu"
Çanakkale İli Seyahat,"
Club Orfoz Motel
",Gelibolu,,Güneyli Köyü Gelibolu Merkez
Muğla İli,"
Badem Motel
",Datça,,Palamut Bükü Datça Merkez
Muğla İli,"
Otel Mete
",Bozburun,,Adatepe Mevkii No 99
Muğla İli,"
Kelebekler Vadisi
",Faralya,,Uzunyurt Koyu (Faralya) Oludeniz
Muğla İli,"
Horizon Sky Resort
",Muğla,,Gökliman Mevkii Kıyıkıslacık Köyü Tepeköy Tatil Sitesi Yanı
Muğla İli,"
Hotel Yücel
",Fethiye,,Mustafa Kocek cad. 1101. Sok. no: 24
Muğla İli,"
Hotel İstanköy
",Bodrum,,Atatürk Cad. No:73 Bodrum Merkez
Muğla İli,"
Yılmaz Hotel
",Bodrum,,Ortakent Yalısı
Muğla İli,"
Karbel Hotel
",Ölüdeniz,,KIdrak Cd. Belcegiz Mahallesi
Muğla İli,"
Flamm
",Bodrum,,Yali Mah. 30. Sok No:3
İzmir İli,"
Otel Arinnanda
",Çeşme,,Boyalık Mevki 3431. Sok. No:1 Çeşme Merkez
Muğla İli,"
Seckin Konaklar Hotel
",Bodrum,,Neyzen Tevfik Cad. 186
Aydın İli,"
SENTIDO Marina Suites
",Kuşadası,,Atatürk Blv
Muğla İli,"
Hotel Torbahan
",Bodrum,,Atatürk Caddesi Sahilyolu No 159
Muğla İli,"
Sultan Motel
",Fethiye,,Kirancagil Mahallesi Oludeniz Beldesi
Muğla İli,"
Mersoy Bellavista Suites
",İçmeler,,Kayabal cad 60
Muğla İli,"
Almena Hotel
",Marmaris,,Kemal Elgin Bulvari 45
Çanakkale İli Seyahat,"
Hotel Limani
",Çanakkale,,Kemal Pasa Mah. Yali Cad. No12
