sehir,isim,ilce,adres
İzmir İli,"
Cansu Motel
",Gümüldür,Sahil Cad. No:58
Muğla İli,"
Su Değirmeni Otel
",Ölüdeniz,Hisarönü Mah. No:4
İzmir İli,"
Tash Mekan
",Çeşme,Alaçatı Mah. 3028 Sok. No:8
Muğla İli,"
Eylül Resort Hotel
",Bodrum,Hortma Mevki Yali Cad. No:32
Muğla İli,"
Zena Hotel
",Bodrum,Koyu Kunkoy Sahil Mevki
İzmir İli,"
The Magza Butik Otel
",Çeşme,Haci Memis Quarter 2047 Sokak No: 16
Çanakkale İli Seyahat,"
AE2 Guest House
",Eceabat,Ismetpasa Mahallesi
Muğla İli,"
Kaptan Otel Bungalows
",Selimiye,"Selimiye Köyü Marmaris Merkez, Marmaris"
İzmir İli,"
Aladi Butik Otel
",Çeşme,Tokoglu Mah. Kemalpasa Cad. No: 8/A
Muğla İli,"
Antik Apart
",Datça,İskele Mah. Nuri Kolcu Sok. No:53 Datça Merkez
Muğla İli,"
Han Hotel
",Ölüdeniz,Hisarönü Cumhuriyet Cad. No:1 Fethiye Merkez
İzmir İli,"
Barım Pansiyon
",Selçuk,"Atatürk mahallesi, Müze arkası"
Muğla İli,"
Tamara Beach
",Selimiye,Selimiye Koyu Hanim pinari mevki No. 11
Muğla İli,"
Fortuna Beach Hotel
",İçmeler,Cumhuriyet Mah. Menderes Cad. No:48
İzmir İli,"
Narli Konak
",Çeşme,Alacati Mahallesi Inonu Caddesi No:57
Muğla İli,"
Panorama Plaza Otel
",Köyceğiz,Ulucami Mah. Cengiz Topel Cad. No:1 Köyceğiz Merkez
Muğla İli,"
Club La Perla Hotel
",Ölüdeniz,Ölüdeniz Mah. ölüdeniz cad(ovacık) No:7
İzmir İli,"
Alaris Otel
",Çeşme,12015 sokak No:2
Muğla İli,"
Aygul Hotel
",Fethiye,Belcekız Mevki Ölü Deniz Yolu Ölüdeniz
İzmir İli,"
Club Mackerel
",Foça,Küçük Ayani Mevki Yeni Foça Yolu Foça Merkez
Muğla İli,"
Tas Pansiyon
",Bodrum,"Inceyalı mevkii, Asagı Mazı koyu"
Çanakkale İli Seyahat,"
Club Orfoz Motel
",Gelibolu,Güneyli Köyü Gelibolu Merkez
Muğla İli,"
Badem Motel
",Datça,Palamut Bükü Datça Merkez
Muğla İli,"
Otel Mete
",Bozburun,Adatepe Mevkii No 99
Muğla İli,"
Kelebekler Vadisi
",Faralya,Uzunyurt Koyu (Faralya) Oludeniz
Muğla İli,"
Horizon Sky Resort
",Muğla,Gökliman Mevkii Kıyıkıslacık Köyü Tepeköy Tatil Sitesi Yanı
Muğla İli,"
Hotel Yücel
",Fethiye,Mustafa Kocek cad. 1101. Sok. no: 24
Muğla İli,"
Hotel İstanköy
",Bodrum,Atatürk Cad. No:73 Bodrum Merkez
Muğla İli,"
Yılmaz Hotel
",Bodrum,Ortakent Yalısı
Muğla İli,"
Karbel Hotel
",Ölüdeniz,KIdrak Cd. Belcegiz Mahallesi
Muğla İli,"
Flamm
",Bodrum,Yali Mah. 30. Sok No:3
İzmir İli,"
Otel Arinnanda
",Çeşme,Boyalık Mevki 3431. Sok. No:1 Çeşme Merkez
Muğla İli,"
Seckin Konaklar Hotel
",Bodrum,Neyzen Tevfik Cad. 186
Aydın İli,"
SENTIDO Marina Suites
",Kuşadası,Atatürk Blv
Çanakkale İli Seyahat,"
Mercan Hotel
",Gelibolu,Güneyli Sahili Gelibolu Merkez
Muğla İli,"
Nergiz Aparts
",Bodrum,Haciahmetler Mevkii No 27
İzmir İli,"
Mayko Ev Hotel
",Çeşme,Tokoglu Mahallesi 1033 Sokak No:3
İzmir İli,"
Aleysim Butik Otel
",Çeşme,Hacimemis Mah. 2074. Sok. No:26
İzmir İli,"
Hotel Nish Alacatı
",Çeşme,Yeni Mecidiye Mh. 13002 Sk. No:11
Çanakkale İli Seyahat,"
Harmani Tatil Ciftligi
",Bozcaada,Cumhuriyet Mah. Goztepe Mevkii
Muğla İli,"
Lakeside Garden
",Milas,Dörttepe Köyü Hisar Mevki 6350 Parsel Milas Merkez
Balıkesir İli,"
Zehra Teyzenin Evi
",Ayvalık,Taksiyarhis Kilisesi Ici Namik Kemal Mah. No:7
Muğla İli,"
The Green Goose Hotel
",Datça,osman akkaraca sk. No:10 iskele mah. Datca Mugla
Aydın İli,"
Ramada Resort Kuşadası & Golf
",Kuşadası,Akyarlar
Muğla İli,"
Hotel Veranda
",Bozburun,Yeşilova Adatepe Mevki
Muğla İli,"
Hotel Torbahan
",Bodrum,Atatürk Caddesi Sahilyolu No 159
Muğla İli,"
Sultan Motel
",Fethiye,Kirancagil Mahallesi Oludeniz Beldesi
Muğla İli,"
Mersoy Bellavista Suites
",İçmeler,Kayabal cad 60
Muğla İli,"
Almena Hotel
",Marmaris,Kemal Elgin Bulvari 45
Çanakkale İli Seyahat,"
Hotel Limani
",Çanakkale,Kemal Pasa Mah. Yali Cad. No12
Muğla İli,"
Okaliptus Hotel
",Bodrum,Cokertme Cad. 44
Muğla İli,"
Kano Otel
",Dalyan,Maraş Mah. Maraş Cad. No:70
İzmir İli,"
Kordon Otel
",İzmir,"Pasaport Mevkii Akdeniz Cad. No 2 Pasaport, Konak"
Balıkesir İli,"
Hattusa Astyra Thermal Resort and Spa
",Edremit,Balikesir Province
Muğla İli,"
Orkide Hotel
",Marmaris,Kemal Elgin Bulv. 248 Sok. No 7
Muğla İli,"
Gurol Hotel & Apartments
",Hisarönü,High Street
Muğla İli,"
Asena Motel
",Dalyan,Güllerpınarı Mah. No 47
Muğla İli,"
Four Seas Apart Hotel
",Bodrum,Sevket Sabanci Caddesi 7069 Sok. (Eski Kumsal Sokak) No: 40
İzmir İli,"
Çeşme Ladin Otel
",Çeşme,Dalyan Mah
Balıkesir İli,"
Tas Konak Otel
",Ayvalık,Mithat Paşa Mah. Şafak Sok. No 15 Alibeyadası
Muğla İli,"
Öztürk Apart
",Marmaris,"Datca Yolu, Opetarkasi"
Muğla İli,"
Aegean Princess
",Marmaris,Kemeraltı Mah. 135 Sok. No:44
Muğla İli,"
Mehtap Hotel
",Dalyan,Gülpınar Mah. 750 Sok. No:2
Muğla İli,"
Otel Bonjour
",İçmeler,Kenan Evren Bulv. 67 Sok. No:4
Muğla İli,"
Moonstar Hotel
",Bodrum,Deniz Cad. No:60
İzmir İli,"
Beyaz Han Hotel
",Çeşme,Yeni Mecidiye Mah. Kemal Paşa Cad. No 7
İzmir İli,"
Şifne Termal Otel
",Çeşme,Ilıca Mah. Çeşme Merkez
Muğla İli,"
Mengen Konaklari
",Datça,Mesudiye Koyu Ovabuku Mevkii Datca
İzmir İli,"
Larimar Boutique Hotel
",Çeşme,"Hurriyet Caddesi No: 46, Balikci Barinagi"
Muğla İli,"
Han Motel
",Turunç,Cumhuriyet Cad. No 6
Çanakkale İli Seyahat,"
Kervansaray Canakkale Hotel
",Çanakkale,Kemal Paşa Mah. Fetvane Sok. No:13 Çanakkale Merkez
Çanakkale İli Seyahat,"
Denizkizi Motel
",Küçükkuyu,Suleyman Sakalli Caddesi Sahil Mahallesi No 45 Kucukkuyu
Çanakkale İli Seyahat,"
Ada Otel
",Bozcaada,"Alaybey Mahallesi, Boruzan Sokak No:9"
Muğla İli,"
Bitez Garden Life Otel
",Bodrum,Bergamut Cad. No:52
Muğla İli,"
Yalicapkini Boutique Hotel
",Milas,Bogazici Koyu
Muğla İli,"
The Diplomat Hotel & Apartments
",Turunç,Cumhuriyet Cad
Muğla İli,"
Bendis Beach Hotel
",Bodrum,Akyarlar Kemer Mevki
Muğla İli,"
Hotel Bagevleri
",Bodrum,Gumbet Mevkii
Muğla İli,"
Iassos Modern Resort Hotel
",Muğla,Kiyikislacik Koyu A Blok No:19/A Milas
Muğla İli,"
The Dionysos
",Kumlubük,Alic Mevki Kumlubuk Beldes
Muğla İli,"
Beyaz Güvercin Motel
",Marmaris,Selimiye Köyü
Balıkesir İli,"
Papazlık Han Butik Hotel
",Altınoluk,Çam Mah. Taş Başı Mevki No:27
İzmir İli,"
Kirkinca Hotel
",Şirince,Istihlas Mah. No 1 Sirince Koyu
İzmir İli,"
Otel Club Şato
",Çandarlı,"Koru Mevki Çandarlı, Dikili"
Muğla İli,"
Tolan Apartments
",İçmeler,Cumhuriyet Mahallesi 314. Sokak No: 6
Çanakkale İli Seyahat,"
Troy Otel
",Çanakkale,Kadırga Behramkale Köyü
Muğla İli,"
Lunabegonvil Taş Evler
",Marmaris,Buruncuk Mevki No:108 Selimiye Köyü
Muğla İli,"
Turunc Premium Hotel
",Marmaris,Turunc Mah. 60 Evler No:1
Muğla İli,"
Babadan Hotel & Apartments
",İçmeler,Kayabal Cad no 34
Muğla İli,"
Green Anatolia Hotel
",Ovacık,Ovacık Köyü Babadağ Yolu Gökçeovacık Köyü
Muğla İli,"
Belle Vue Butik Hotel
",Ölüdeniz,Belcegiz mah. Oludeniz Cad. No: 28
İzmir İli,"
Nur Pension
",Selçuk,Zafer Mah. 3004 Sok No. 16
İzmir İli,"
Beyevi Hotel
",Çeşme,"Kemalpaşa Caddesi Yenimecidiye Mahallesi, No 126"
Muğla İli,"
Oasis Hotel
",Marmaris,Kemal Seyfettin Elgin Bulvari No 73
