yetkili,isim,tel,adres
 İrfan AKÇA,Cerean Enerji Bayilik,  532 610 31 10 - cerean@cereanbayilik.com      , Kısıklı Cad. Sarkuysan-Ak İş Merkezi No:4 A Blok Kat:2 Altunizade-Üsküdar İstanbul Türkiye
 MEHMET AKBULUT,Ziwbax Oto Kuaför Bayilik Veriyor,  212-441-4007      , Bahçelievler Mah.Ressam Halim sk. E-5 üzeri Bahçelievler/MERKEZ
 Dündar SOYSAL,piupiu oyuncak Ürün Satış Bayiliği Veriyor - Bayilik Franchise,  05322632261      , Doğan Araslı Bulvarı Eskule AVM No:174/-2 kat No:2-12 34510 Esenyurt/İSTANBUL
 HAKAN ÖZTAŞKIN,VİTAŞ VİDA  TİC.A.Ş. Bayilik Veriyor - Bayilik Franchise,  0-212-2211540      , PERPA TİCARET MERKEZİ KAT:8 NO:1019-1021 B-BLOK 
 SERHAN ERDOĞAN-SERHAT ERDOĞAN,SERHAN KIRTASİYE BÜRO MALZEMELERİ A.Ş. Bayilik Veriyor - Bayilik Franchise,  459 55 85      , YENİŞEHİR-İZMİR
 Nuri Bilgenoğlu,Diner Makina Bayilik Ve Bayilik Şartları,  0532 100 0 356      , izmir TÜRKİYE
 Serdar Taşkesen,Tentapor Züccaciye Ürünleri Bayilik Veriyor,  05326443684      , Mecidiyeköy/Şişli/İSTANBUL
 Ertan HANGİŞİ,Will's Coffee Bayilik Veriyor - Bayilik Franchise,  0 531 406 37 20      , Buttim ticaret merkezi.Yeni yalova yolu.Kat 3.Osmangazi/BURSA
 GÖKALP DİŞİAÇIK,FAVORİ Franchise Veriyor - Bayilik Franchise,  554 278 3781 / 0212 512 11 45      , Nuruosmaniye Cad. No:30 Cağaloğlu / Eminönü
 Eren İSOT,Erinç Gayrimenkul Franchise Veriyor - Bayilik Franchise,  05556625484      , Soğanlık Yeni Mahalle. Balıkesir Caddesi. Uprise Elite Residance. No:6 C1 A/B Blok. Kat:17. Daire:156. SOĞANLIK / KARTAL / İSTANBUL
 MUSTAFA GÖLGELİKAYA,CLASS RENT A CAR Bayilik Veriyor - Bayilik Franchise,  +90 232 2500016      , HALİDE EDİP ADIVAR BUL.NO:41/A ÜÇYOL / KONAK / İZMİR
 Burak İkizler,Ase Ekspres Bayilik Veriyor - Bayilik Franchise,  0 212 503 76 76      , Havalimanı Kavşağı Sanayi Cad. No: 38 Çobançeşme - İstanbul
 ARİF ÇEKEN,MNA Gıda Unlu Mamüller Bayilik Veriyor,  2165946101      , HUZUR MAH ÇAMLICA CAD NO 25 A.DUDULLU
 Kübra SEZEN,Kahve Plus Bayilik,  0850 226 0555 - 0541 974 6632      , Güzelyalı Mh. Turgut Özal Blv. 81118 Sk. Ahmet Çelik Apt. No:2 Çukurova ADANA
 AHMET ATALAY,Mirliwa Kahve Bayilik Veriyor,  0224 272 3 272 - 0533 267 14 20 - 0507 152 12 16      , ELMASBAHÇELER MAH: ZAFER SOK:NO: 46
 Murat Özcan,Kahveland Bayilik Veriyor,  0-532-2830304      , Güzelyalı mah 81201 sok karataş apt no:12/1
 ALİ MUTLU UĞUZ,HAPPY ICE CREAM Bayilik Şartları,  08508400186      , Seyrantepe Yıldız Sok.No:29 Kağıthane İstanbul
 NURETTİN GÜR,MNGÜR Pizza Restaurant Bayilik Veriyor,  2124378008      , OTAKCILAR CAD NO:78 FLATOFİS GİRİŞ KAT MNGÜRPİZZA EYUP İST
 volkan övez,Volkan Special Türk Kahvesi Bayilik Veriyor,  05439548923      , tevfikiye mah. 3518 sk. no:1/a-b yunus emre Manisa
 Mehmet Eyyüp Aman,chocoworlds Bayilik Veriyor,  +905356508417      , Günesli mah 14/1 sk no : 37 bagcılar istanbul
 Veysel Keyvan,Köytaş Et Mamülleri Bayilik Veriyor,  0 364 311 8989      , 
 YALIN ERTEMEL,Mantıklı Mantı Bayilik ve Bayilik Şartları,  530 109 59 59      , SÜLEYMANPAŞA/TEKİRDAĞ
 Yusuf Küçükceylan,Fantasya Dönerim Bayilik,  05322675535      , Kazım Karabekir Cd No:4/D Bornova İZMİR
 Hakan Ay,Süper Mısır Bayilik Veriyor,  05326212937      , sırameşeler mah sema sok no:10
 TURAN ÖZÇENGEL,Chips Funny Bayilik Veriyor,  02324415522      ," ANAFARTALAR CAD, SALEPÇİOĞLU İŞ MERKEZİ, NO:96/312 KEMERALTI KONAK İZMİR"
 Tahsin Kamış,Ciğerci Tahsin Bayilik,  0224 225 05 33  -  0532 344 52 37      , Alacamescid Mh.  Çancılar Caddesi No:15 Osmangazi - Bursa
 UMUT KAYA,SNOWİE Bayilik Veriyor,  212 438 54 91      , İstanbul Ticaret Sarayı - Oruç Reis Mah. Vadi Cad. No: 108 Kat: 9 D: 572 Giyimkent - Esenler / İST.
 Hacı Ahmet Kaynak,Tostcuu Bayilik Veriyor,  05061567042      , konya
 KADER SALMAN,Hacı Sayid Bayilik  Veriyor,  02126523475      , kadersalman@hacisayid.com
 İZMİR MERKEZ,Minik Donut Bayilik Veriyor,  0 232 422 55 53 mobil 533 766 1818      , Kibris SEHITLER CADDESI no 134 ALSANCAK izmir
 Halil Baki,Alsancak Unlu Mamüller Bayilik Şartları,  232 5433535      , Sakarya cad. No:77/7 Bayraklı / İzmir
 Fırat Uzman,Gaziantepli Habeşoğlu Baklavaları Bayilik,  05547841484      , Mareşal Çakmak mah.Hüseyin Tonyalı Sok No 11 Güngören / İst.
 Süleyman Alacacı,Kahve Sokağı Bayilik Veriyor,  0532 767 82 17      , Çamlaraltı Mah. 6010 Sk. No:14/1 Aslan Apt. Çamlık / Denizli
 Serdar Özdemir,Waffle Dünyası Bayilik Veriyor,  0232 446 16 36      , mithatpaşa cad.aksoy apt kat:1 d:2 konak/izmir
 Mehmet Geren,Waffle'cı Akın Bayilik Veriyor,  0532 3255753      , Mavişehir  izmir
 Kemal Acir,To Die For Coffee Bayilik Veriyor,  0543 651 29 41      ," TDF TÜRKİYE MERKEZ OFİS Kızılcık Sok. No:19 D.22 Altıntepe, Bostancı / İstanbul"
 Erhan ARAS,The Chicken City Bayilik,  05436626714      , İstanbul/Sancaktepe
 Serhat Dereli,Tarihi Osmanlı Çiğ Köftecisi Bayilik,  08503043202      , Isparta/Merkez
 Emir Güven,Tayland Dondurmasi Bayilik,  05384185909      , bakırkoy ıstanbul
 Murat Doğrul,Dönerhan Bayilik Veriyor,  0 533 686 07 99      , Derecik mah. Anadolu Bulvarı No : 133 İlkadım/Samsun
 Martı Tuğcu,Bana Bana Tire Kebap Bayilik Veriyor,  05419612601      , Mithatpaşa cad. K:1 No:108 Balçova/izmir
 Yaşar Kemal Özkoç,Fresh-Roll Tava Dondurma Bayiliği,  05076661660      , haşim iscan mah. atatürk cad. no 35/ a muratpaşa antalya
 Bedri Gencten,Naturaköy Doğal Yumurta Bayilik Veriyor,  0 232 482 06 02      , Dereköy / İzmir
 Hakan TORUN,Tordo Dondurma Bayilik Veriyor,  05323360450 - 03442240254      , İsmetpaşa Mah. Şeyhadil Cad. no:32/d Dulkadiroglu / Kahramanmaraş
 ALİ IŞIKSEVER,Pide Durağı Bayilik Veriyor,  0312 397 74 33      , Fatih Sultan Mehmet Bulvarı No:284 Macun Mahallesi İstanbul Yolu – Yenimahalle 06370 / ANKARA
 İBRAHİM ARSLAN,Esaslı Et Ürünleri Bayilik Veriyor,  0 549 530 60 69      , ANTALYA ORGANİZE SANAYİ
 Ganim Küçükoğlu,NOODLE WE Hazır Makarna Bayilik,  0 532 244 57 62      , Mersin OSB Nacarlı Mah. 11. cd. No:2/2A akdeniz - MERSİN
 Rabia YAĞIZ,Best Coffee Shop Bayilik,  216 331 4791      , Boğaziçi Cad. Taşocağı Yolu Sok. No: 37 34810 Çubuklu Beykoz İstanbul-Türkiye
 Tayfun SARITAŞ - Mehmet Ali ARSLAN,ICE FRUTTI Bayilik,  0506 467 01 01 - 0532 335 88 53      , MERSİN
 Yasemin Bayraktar,Kahve Doğası Bayilik,  0232 373 13 14      , 372/19 Sok. No:13 Bornova İZMİR
 Abdullah Aykut,Choco Fruit Bayilik,  05323563143      , Acity avm zemin kat yenimahalle / ankara
 ALİ AĞIR,Çaytaze Bayilik,  5355586709      , Şehreküstü Mh Kalburcular Cd No:24 Osmangazi/BURSA
 Özkan Önder,Franklin Coffee and Burger House Bayilik,  08508851875      , Çamlaraltı Mah. 6008 Sk. No:10/1 Çamlık / Denizli
 Tacettin Kaleli,Waffle Edem Bayilik,  0212 465 06 60 - 0532 221 61 36      ," İstanbul, İzmir"
 Onur Akadam,Çay Atölyesi Bayilik,  5419121920      , Espark Avm Eskişehir
 Banu Kurtaran,Choco Bons Waffle Bayilik - Franchise Veriyor,  03122199282      , Eskişehir Yolu 7.km no:164/73 Kentpark AVM
 Arif Cen,Farkı Tat Bayilik,  05327917240      , yayla mah. 1601 sk No: 17 Isparta
 Arda Bozca,Kahve Tiryakisi Bayilik Veriyor,  0212 591 5 591      , Denizköşkler Mh. E-5 Yanyol No: 43/A - Avcılar – İstanbul
 Oğuzhan Altıntaş,Coffee Stop Wien Bayilik ve Franchise Şartları,  02126204720      , Atatürk Oto Sanayi Sitesi Çift Kurtlar Plaza No: 78 Kat: 6 Maslak/İST
