yetkili,isim,tel,adres
 İrfan AKÇA,Cerean Enerji Bayilik,  532 610 31 10 - cerean@cereanbayilik.com      , Kısıklı Cad. Sarkuysan-Ak İş Merkezi No:4 A Blok Kat:2 Altunizade-Üsküdar İstanbul Türkiye
 MEHMET AKBULUT,Ziwbax Oto Kuaför Bayilik Veriyor,  212-441-4007      , Bahçelievler Mah.Ressam Halim sk. E-5 üzeri Bahçelievler/MERKEZ
 Dündar SOYSAL,piupiu oyuncak Ürün Satış Bayiliği Veriyor - Bayilik Franchise,  05322632261      , Doğan Araslı Bulvarı Eskule AVM No:174/-2 kat No:2-12 34510 Esenyurt/İSTANBUL
 HAKAN ÖZTAŞKIN,VİTAŞ VİDA  TİC.A.Ş. Bayilik Veriyor - Bayilik Franchise,  0-212-2211540      , PERPA TİCARET MERKEZİ KAT:8 NO:1019-1021 B-BLOK 
 SERHAN ERDOĞAN-SERHAT ERDOĞAN,SERHAN KIRTASİYE BÜRO MALZEMELERİ A.Ş. Bayilik Veriyor - Bayilik Franchise,  459 55 85      , YENİŞEHİR-İZMİR
 Nuri Bilgenoğlu,Diner Makina Bayilik Ve Bayilik Şartları,  0532 100 0 356      , izmir TÜRKİYE
 Serdar Taşkesen,Tentapor Züccaciye Ürünleri Bayilik Veriyor,  05326443684      , Mecidiyeköy/Şişli/İSTANBUL
 Ertan HANGİŞİ,Will's Coffee Bayilik Veriyor - Bayilik Franchise,  0 531 406 37 20      , Buttim ticaret merkezi.Yeni yalova yolu.Kat 3.Osmangazi/BURSA
 GÖKALP DİŞİAÇIK,FAVORİ Franchise Veriyor - Bayilik Franchise,  554 278 3781 / 0212 512 11 45      , Nuruosmaniye Cad. No:30 Cağaloğlu / Eminönü
 Eren İSOT,Erinç Gayrimenkul Franchise Veriyor - Bayilik Franchise,  05556625484      , Soğanlık Yeni Mahalle. Balıkesir Caddesi. Uprise Elite Residance. No:6 C1 A/B Blok. Kat:17. Daire:156. SOĞANLIK / KARTAL / İSTANBUL
 MUSTAFA GÖLGELİKAYA,CLASS RENT A CAR Bayilik Veriyor - Bayilik Franchise,  +90 232 2500016      , HALİDE EDİP ADIVAR BUL.NO:41/A ÜÇYOL / KONAK / İZMİR
 Burak İkizler,Ase Ekspres Bayilik Veriyor - Bayilik Franchise,  0 212 503 76 76      , Havalimanı Kavşağı Sanayi Cad. No: 38 Çobançeşme - İstanbul
 MAHİR ULAŞ,ATAK.KARGO Bayilik Veriyor - Bayilik Franchise,  444 00 35      , BEYAZGÜL SOK. NO.12 K.ESAT ANKARA
 Kübra SEZEN,Kahve Plus Bayilik,  0850 226 0555 - 0541 974 6632      , Güzelyalı Mh. Turgut Özal Blv. 81118 Sk. Ahmet Çelik Apt. No:2 Çukurova ADANA
 AHMET ATALAY,Mirliwa Kahve Bayilik Veriyor,  0224 272 3 272 - 0533 267 14 20 - 0507 152 12 16      , ELMASBAHÇELER MAH: ZAFER SOK:NO: 46
 Murat Özcan,Kahveland Bayilik Veriyor,  0-532-2830304      , Güzelyalı mah 81201 sok karataş apt no:12/1
 ALİ MUTLU UĞUZ,HAPPY ICE CREAM Bayilik Şartları,  08508400186      , Seyrantepe Yıldız Sok.No:29 Kağıthane İstanbul
 NURETTİN GÜR,MNGÜR Pizza Restaurant Bayilik Veriyor,  2124378008      , OTAKCILAR CAD NO:78 FLATOFİS GİRİŞ KAT MNGÜRPİZZA EYUP İST
 volkan övez,Volkan Special Türk Kahvesi Bayilik Veriyor,  05439548923      , tevfikiye mah. 3518 sk. no:1/a-b yunus emre Manisa
 Mehmet Eyyüp Aman,chocoworlds Bayilik Veriyor,  +905356508417      , Günesli mah 14/1 sk no : 37 bagcılar istanbul
 Veysel Keyvan,Köytaş Et Mamülleri Bayilik Veriyor,  0 364 311 8989      , 
 YALIN ERTEMEL,Mantıklı Mantı Bayilik ve Bayilik Şartları,  530 109 59 59      , SÜLEYMANPAŞA/TEKİRDAĞ
 Yusuf Küçükceylan,Fantasya Dönerim Bayilik,  05322675535      , Kazım Karabekir Cd No:4/D Bornova İZMİR
 Hakan Ay,Süper Mısır Bayilik Veriyor,  05326212937      , sırameşeler mah sema sok no:10
 TURAN ÖZÇENGEL,Chips Funny Bayilik Veriyor,  02324415522      ," ANAFARTALAR CAD, SALEPÇİOĞLU İŞ MERKEZİ, NO:96/312 KEMERALTI KONAK İZMİR"
 Tahsin Kamış,Ciğerci Tahsin Bayilik,  0224 225 05 33  -  0532 344 52 37      , Alacamescid Mh.  Çancılar Caddesi No:15 Osmangazi - Bursa
