sehir,isim,ilce,adres
Samsun İli,"
Gloria Tibi Hotel
",Samsun,Kale Mahallesi Bankalar Caddesi No:16
Ordu İli,"
Aktug Hotel
",Ordu,Akyazi Mah. Sabahnur Malatyalioglu Mah. No:2 (Plaj Mevkii)
Trabzon İli,"
Aksular Otel
",Trabzon,Toklu Mah.Sahil Cad.No:465
Zonguldak İli,"
Emirgan Hotel
",Zonguldak,Yayla Mah. Kapuz Cad. No 39
Sinop İli,"
Otel 57
",Sinop,"Meydan Kapı Mah. Kurtuluş Cad. No:29 Sinop Merkez, Sinop Merkez"
Ordu İli,"
Baliktasi Hotel
",Ordu,Güzelyalı Mah. Bülent Ecevit Bulv. No 36
Trabzon İli,"
Şirin Motel
",Uzungöl,Gölbaşı Mah. Çaykara
Samsun İli,"
North Point Hotel
",Samsun,Ataturk Bulvari no 594
Artvin İli,"
Greenpeace Camping
",Yusufeli,15 miles north of Tortum Falls
Bolu İli,"
Gaye Otel
",Bolu,Seyit Koyu Mudurnu Yolu Uzeri No 19
Bolu İli,"
Abant Dört Mevsim Konağı
",Bolu,"Abant Yolu Üzeri 12.km. Dereceören Merkez (Mehel) Mevki, No:51-54/1"
Bolu İli,"
Hotel Göl Evi Saraycık
",Bolu,Kartalkaya 22. km Sarıalan Mevkii Saraycık Yaylası
Trabzon İli,"
Sumela Park Hotel
",Trabzon,İskenderpaşa Mahallesi Şehit ibrahim Karaoğlanoğlu Caddesi No:14
Zonguldak İli,"
Cherry Garden City & Spa Hotel
",Ereğli,Ivriz Yolu 5 km Belceagac Mevkii No:415
Zonguldak İli,"
Grand Ereğli Hotel
",Zonguldak,"Devrim Bulv. Ali Kanca Plaza No:17/D Ereğli Merkez, Karadeniz Ereğli"
Bolu İli,"
Garden Termal Otel
",Bolu,Fatih Mahallesi Ihlamur Sokak No:1/A Karacasu
Trabzon İli,"
Sezgin Otel
",Uzungöl,Yeni Mah.
Bolu İli,"
Nesilce Tatil Koyu
",Mengen,Serpek Mevki Akbuk Yolu No:110
Rize İli,"
Ferah Pansiyon
",Çamlıhemşin,Ayder Tourism Center
Giresun İli,"
Otel New Jasmin
",Giresun,"Gazi Mustafa Kemal BulvarI, Cerkez Mevkii No: 61"
Düzce İli,"
Topuk Yaylasi Tesisleri
",Düzce,Topuk Yaylasi Kaynasli
Ordu İli,"
Anemon Ordu Hotel
",Ordu,"Taşbaşı Mah. Atatürk Bulv. No:5 Kumbaşı, Ordu Merkez"
Bolu İli,"
Taksim International Abant Köşkü
",Mudurnu,"Abant Gölü Abant, Bolu Merkez"
Trabzon İli,"
Horon Hotel
",Trabzon,Sıramağazalar Cad. No:125 Trabzon Merkez
Trabzon İli,"
Novotel Trabzon
",Yomra,Cumhuriyet Mah kasustu Beldesi
Sinop İli,"
Heyamola Resort
",Sinop,Sinop Samsun Yolu 10. km
Bolu İli,"
Kartaltepe Boutique Hotel
",Bolu,Kartalkaya Yolu Uzeri 2. km Saraycik Koyu Merkez
Bolu İli,"
Soylu Otel
",Bolu,Beşkavaklar Mh. D100 Karayolu Üzeri NO:61
Samsun İli,"
Anemon Samsun Hotel
",Samsun,Yeni Mah. Carsamba Cad. No:52 Canik/Samsun
Bolu İli,"
Esentepe Hotel
",Bolu,Kitirler Mah.
Sinop İli,"
Reis Otel
",Sinop,Meydankapı Mah. Kurtuluş Cad. No:19 Sinop Merkez
Ordu İli,"
Belde Otel
",Ordu,Kiraz Limani Mevki Ordu Merkez
Trabzon İli,"
Kilpa Hotel
",Uzungöl, 
Trabzon İli,"
Yali Park Otel
",Trabzon,Yali Mahallesi Mimar Sinan Caddesi No 8
Kastamonu İli,"
İksir Resort Town
",Kastamonu,Daday Kelebek Mah
Zonguldak İli,"
Dedeman Zonguldak
",Zonguldak,İncivez Mahallesi Milli Egemenlik Caddesi 128
Bolu İli,"
Büyük Abant Oteli
",Mudurnu,Abant Gölü Mevki
Trabzon İli,"
Zorlu Grand Hotel
",Trabzon,Kemerkaya Mahallesi
Kastamonu İli,"
Yali Otel
",Cide,Liman Yolu
Sinop İli,"
Vira Otel
",Sinop,Karakum Mevki Enver Bahadır Cad. No18 Sinop Merkez
Sinop İli,"
Antik Otel
",Sinop,Gelincik Mah. Ordu Cad. No:33
Düzce İli,"
Otel Akçakoca
",Akçakoca,Ereğli Cad. No:23 Akçakoca Merkez
Bolu İli,"
Gazelle Resort & Spa
",Bolu,Karacasu Mevkii
Trabzon İli,"
Kayalar Aile Pansiyonu
",Trabzon,Altındere Milli Parklar Vadisi Sümela Manastırı Yolu Trabzon Merkez
Kastamonu İli,"
Emirbey Atli Turizm Dogal Yasam Koyu
",Daday,Akpinar Koyu Gocerler Mahalesi
Rize İli,"
Hotel Lazlakar
",Rize,otoyolu limanköy mevkii RİZE
Zonguldak İli,"
Filyos Beach Resort
",Zonguldak,Kdm.üstg martyrs. Necati Gurkan Cad. No: 7
Sinop İli,"
Mola Hotel Sinop
",Sinop,Tershane Çarşısı Balıkçı Barınağı Karşısı No. 34
Trabzon İli,"
Zarha Mountain Resort
",Sürmene,Orta Mah. Sürmene Merkez
Trabzon İli,"
Çam Motel
",Uzungöl,Gölbaşı Mah.
Artvin İli,"
Çam Yuva Pansiyon
",Yusufeli,Yaylalar Köyü Yusufeli Merkez
Bolu İli,"
Vegke Kutuk Evleri
",Bolu,Bozyer 
