sehir,isim,ilce,tel,adres
Artvin İli,Çardak Restaurant,Artvin,904662128898,Cumhuriyet Caddesi Aksakaloğlu İşhanı Kat 2
Samsun İli,Kerimbey Konağı,Samsun,+90 (362) 266 40 53,Çarşamba Yolu 8. Km Kerimbey Mevkii
Trabzon İli,Zigana Yörük Çadiri,Trabzon,2732646,Ergunes Mah. Akçabat Cad.
Bolu İli,Nüfren 1962,Bolu,374 222 1962,İbn-i Sina Caddesi N0:9/A
Rize İli,Dağmaran Restaurant,Rize,2147814,Balsu Mah. Dağbaşı Mevki Balsu Cad. No:103
Bolu İli,Çiğköftem,Bolu,2156666,Tabaklar Mah. Izzet Baysal Cad. No:66 D:1
Düzce İli,Mustafa'nın Yeri,Düzce,5240333,"Şerefiye Mah. Gaziantep Cad. Ümit Sok. No:1 Düzce Merkez, Düzce Merkez"
Samsun İli,Çalıkuşu Meşhur Dönerci,Samsun,2310360,İstiklal Cad. No:122 İstasyon
Trabzon İli,Galanima,Akcaabat,2487127,"Söğütlü, Adnan Kahveci Bulv.2 Nolu Sk No:2"
Düzce İli,Camlı Köşk,Düzce,5236253,Kültür Mah. Mansur Bayram Cad. Ismet Inönü Parkı
Giresun İli,Çagla Pide,Giresun,2155595,Gaziler Mah. Atatürk Bulv. No:527
Bolu İli,Kebap 14,Bolu,2155865,Aktaş Mah. Öney Sok. No:12
Bolu İli,Göl Gazinosu,Bolu,2245045,Abant Golu No:3
Trabzon İli,Serender Cafe Restaurant,Trabzon,0462 2212170,Beşirli Mah. Devlet Sahil Yolu No:575/A
Düzce İli,Capa Restaurant & Cafe,Akçakoca,+90 380 611 5757,Kumluk Sok.No: 17
Samsun İli,Samsun Halk Lokantası,Samsun,2342288,Bahçelievler Mah. Istiklal Cad. No:182/A
Samsun İli,Tatlıses Çiğ Köfte,Samsun,2302090,"Hürriyet Mah. 100. Yıl Bulv. No:205/B İlkadım, İlkadım"
Samsun İli,Bolulu Hasan Usta,Samsun,2342727,"Istasyon Mah. Istiklal Cad. No:157/A Samsun Merkez, Samsun Merkez"
Samsun İli,Beyaz Ev Restaurant,Samsun,4655952,Kıran Mah. Kırgız Sok. Makro Alisveris Merkezi K:Zemin D:172
Samsun İli,Pilaki Meze Evi,Samsun,2341296,"Dr. Kamil Cad. No:47/B İstasyon, İlkadım"
Samsun İli,Zalı Restaurant Cafe,Samsun,4327991,Istiklal Cad. Elmas Hanım Konağı No:62
Samsun İli,Abide kebap lahmacun,Samsun,903624382101,Denizevleri Mah Ataturk Bulvari Yesilyurt Avm
Samsun İli,Adı Yörem Çiğköfte,Samsun, (0362)4392434,Deniz Evleri Mah. Atatürk Bulv. No:68/B
Samsun İli,McDonald's,Samsun,4391722,Denizevleri Mah. Atatürk Bulv. Yeşilyurt AVM No:154 K:4
Samsun İli,Sultanahmet Köftecisi,Samsun,4392022,Denizevleri Mah. Atatürk Bulv. Yeşilyurt AVM No:154 K:3
Samsun İli,BlueEyes,Samsun,03622341779,Hürriyet mah. Hakkı bey sk. no:82
Samsun İli,Sivas Pide Salonu,Samsun,4319192,Rasathane Mah. Ağabali Cad. No:128
Samsun İli,Helima Restaurant,Samsun,2383983,Belediye Evleri Mah. Cengiz Topel Cad. No:3
Samsun İli,Ugdaş Restaurant,Samsun,4357171,Kale Mah. Gazi Cad. No:31
Samsun İli,Livane Restaurant,Samsun,2334434,Çiftlik Cad. No:105
Samsun İli,Agahin Yeri,Samsun,4379134,Cumhuriyet Mah. Atatürk Bulv. No:391
Samsun İli,Asya Ro-Ro,Samsun,4451650,Liman Kavsağı
Samsun İli,Akçaabat Köfte Salonu,Samsun,4655509,Derecik Mevki Ankara Cad. No:168
Samsun İli,Kademoğlu Balıkçılık,Samsun,4451577,Cedit Mah. Belediye Balik Hali No:17
Samsun İli,Topaloğlu Balikçılık,Samsun,4451639,Bahçelievler Mah. Belediye Balik Halı
Samsun İli,Akbulut Tavukçuluk,Samsun,8763957,Yeni Mah. No:2 Terme Merkez
Samsun İli,Kısmet Restaurant,Samsun,+90 362 437 86 51,Güzelyalı Mah. 1. Sok. No:16
Samsun İli,Tatlıcı Tombak,Samsun,4392440,Denizevleri Mah. Atatürk Bulv. Yeşilyurt AVM No:154 K:2 D:36
Giresun İli,Corylus Cafe & Patisserie,Giresun,+(90)454 500 2800,Citlakkale Mah. Inonu Cad. No:129 a/C
Düzce İli,CIftlIk Restaurant,Düzce,03805241100,"Gaziantep Cad,6/A"
Bartın İli,Kahve Evi,Amasra,+(90)05387340130,Cekiciler Sokak 57/A
Trabzon İli,Lazeli Restaurant,Trabzon,+90 462 228 0508,"Trabzon Giresun Yolu, Kavaklı beldesi, Sahil Cd. No:2"
Bartın İli,Amasra Günbatımı restaurant,Amasra,05436943247,Kucuk Liman Cad. No :5
Bolu İli,Sebahattin'in Yeri,Bolu,2173142,Yeniköy Ankara Yolu
Trabzon İli,Şahbazoğlu Köfte Salonu,Trabzon,2280657,"Orta Mah. Trabzon Cad. Akçaabat Merkez, Akçaabat"
Trabzon İli,Nihat Ustanın Yeri,Trabzon,+90 462 228 0050 ,Akçaabat
Bolu İli,Burger King,Bolu,2127633,Tabaklar Mah. Izzet Baysal Cad. Becikoglu Alisveris Merkezi No:19
Zonguldak İli,Çıtır Usta,Zonguldak,2578838,Terraki Mah. Milli Egemenlik Cad. DemirPark AVM No:60
Samsun İli,Zeki Gülhan Restoran,Samsun,2330444,Derebahçe Mah. Maçka Caddesi Göztepe Geçiti Samsun
Bartın İli,Çınar Restaurant,Amasra,0378 315 1018,Küçük Liman Cad. 1
Bartın İli,Çınar Restaurant,Amasra,3151018,Küçük Liman Cad. No:1 Amasra Merkez
Zonguldak İli,Özsüt,Zonguldak,2578766,"İncivez Mah. Milli Egemenlik Cad. DemirPark Alışveriş ve Yaşam Merkezi No:130 K:2 D:46 Soğuksu, Zonguldak Merkez"
Rize İli,Dere Restaurant,Rize,6566622,Behice Köyü Fırtına Yolu 14. Km.
Trabzon İli,Güloğlu Kebap Baklava,Trabzon,3215332,Atatürk Alanı No:5/A
Rize İli,felamurkafe,Çamlıhemşin,04646517218,Konaklar Mah. Halil Sisman Cad
Kastamonu İli,Akveri Akcaabat Kofte,Kastamonu,+(90)366 2149789,Saraclar Mah. Huzurevi Cad. NO:2
Trabzon İli,Mado,Trabzon,3300154, 
Artvin İli,Çifte Köprü Restoran,Artvin, 011 90 466 341 2020,Çifte köprü Mevkii.Ortalar köyü
Trabzon İli,Hamsiköy Kardak Tesisleri,Trabzon,5426132,Hamsiköy Bekçiler Mevki
Ordu İli,Haccak,Ordu,+(90)04526668686,Yenimahalle Ismetpasa Cad. 40/A
Bartın İli,Turkuaz Balık Restaurant,Amasra,(378) 315 34 74,Kemer Sokak
Trabzon İli,Hancıoğlu Çamburnu Tesisleri,Sürmene,04627522999,Sahil Yolu Çamburnu
Ordu İli,Pelit Park,Ünye,+90(452)3245157,Ataturk Mahallesi Pelitlik Sokak No:30
Trabzon İli,Öz Gaziantep,Akcaabat,2284936,Inönü Cad. Ceylan Sok.
Bolu İli,Gurmeet Restaurant,Bolu,+(90)3742101977,TABAKLAR MAHALLESİ AKBABA SOKAK NO:6(TABAKLAR HAMAMI YANI)
Trabzon İli,Pidecim,Trabzon,3221011,Kemerkaya Mah. Uzun Sok. No:28
Zonguldak İli,Keşan Restoran,Zonguldak,3124853,"Erdemir Cad. Ofis Yolu No:16 Ereğli Merkez, Karadeniz Ereğli"
Trabzon İli,Faroz Köfte,Trabzon,2299020,Yalı Mah. Yalı Cad. No:104
Zonguldak İli,Neslişah,Zonguldak,03722666787,Fatih sitesi jandarma karakol karsIsI
Samsun İli,Sevgi Cafe,Samsun,2331816,Sahil Cad
Kastamonu İli,İsmail Bey Konağı,Kastamonu,2148788,Beyçelebi Mah. Atatürk Cad. No:131 Kastamonu Merkez
Trabzon İli,Ikram Sofrası,Trabzon,2231730,Yeni Mah. Devlet Sahil Yolu Cad. No:112
Bolu İli,Komagene,Bolu,3742155557,Elmalık Mevki İstanbul Ankara Yolu 227. Km Highway Outlet No:ZD/32
Zonguldak İli,Yoshi,Zonguldak,556 46 44 ,Dr. Veysel Atasoy Caddesi 3
Samsun İli,Adiyörem Çiğ Köftecisi,Samsun,4324639,Kazım Paşa Cad. No:14 D:1
Kastamonu İli,Efkan'ın Yeri,Kastamonu,366 212 71 55,Ankara Yolu 3.Km. Budamış Yokuşu
Sinop İli,Sinop Antep Sofrasi,Sinop,0368 260 34 34,Yeni Mahalle Ataturk Caddesi No:15
Samsun İli,Domino's Pizza,Samsun,4381717,Atatürk Bulv. No:358
Sinop İli,Gelenbevy,Sinop,+(90)3682505755,Iskele Caddesi
Sinop İli,Diyarbakır Sofrası,Sinop,2600833,Kıbrıs Cad. No:7
Trabzon İli,Git Git Chicken,Trabzon,3216962,Maraş Cad. No:5/G
Giresun İli,Ayvasil Pide Salonu,Giresun,2154639,Bahtiyar Aydın Cad. No:3
Samsun İli,Özsüt,Samsun,4386686,"Denizevleri Mah. Atatürk Bulv. Yeşilyurt AVM No:154 K:3 Atakum, Atakum"
Trabzon İli,Burger King,Trabzon,2238888,Gülbahar Hatun Mah.İnönü Cad.No:18
Bartın İli,Balikcinin Yeri,Amasra,3152683,Buyuk Liman Cad. No:57/A
Rize İli,Pınar Alabalık,Rize,7524225,Çamlı Hemşin Yolu Ardeşen Merkez
Rize İli,Yakamoz Restaurant,Rize,0464 214 37 88,Ekrem Orhan Dolgu AlanI
Kastamonu İli,Hanedan,Kastamonu,2127171,Nasrullah Meydanı Banka Sok. No:1 Kastamonu Merkez
Zonguldak İli,Nazar Pide Kebap & Iskender Salonu,Ereğli,3124032,Merkez Mah. Erdemir Ofis Yolu No:8
Trabzon İli,Lokman Tatlı,Trabzon,3212552,Uzun Sok. No:13 Trabzon Merkez
Trabzon İli,Kadakal Sahil Tesisleri,Trabzon,2290328,Yalı Mah. Sahil Yolu
Samsun İli,SASA Restaurant Cafe,Samsun,3624370404,"Adnan Menderes Bulvarı No: 263,Türkiş kavşağı"
Trabzon İli,Karpi Pide,Trabzon,3217933,Kunduracılar Cad. Halkevi Sok. No:15 K:1 Trabzon Merkez
Trabzon İli,Hasan Usta Et Mangal,Trabzon,7176659,Rize Cad.
Trabzon İli,Edward's Coffee,Trabzon,(462) 326 80 26,Uzun Sokak Can Bakkal Is Merkezi
Rize İli,Cise Restaurant,Çamlıhemşin,657 2171,Asagi Ambarlik Mevki Ayder
Düzce İli,Akbey Restaurant,Akçakoca,6113233,Osmaniye Mah. Atatürk Cad. No:21
Bolu İli,Köroğlu Park,Bolu,2277030,Koroğlu Ankara Yolu
Trabzon İli,McDonald's,Trabzon,2232674,"Gülbahar Hatun Mah. İnönü Cad. Atapark AVM No:8 K:3 D:3 Beşirli, Trabzon Merkez"
Trabzon İli,Dudu,Trabzon,2482311,Söğütü Mevki Orta Mah. Adnan Kahveci Bulv. No:57
Samsun İli,Oba,Samsun,362 431 3731,19 mayis mah. Osmaniye cad
Kastamonu İli,Arma Tantuni,Kastamonu,2140330,Aktekke Mah. Yalçın Cad. Tamel İş Merkezi (Çengeller Köprüsü)
Trabzon İli,Osmanlı Sofrası,Trabzon,7716777,Irfanli Mah. Ankara Cad. No:4
