sehir,isim,adres
 İSTANBUL,  ÜMRANİYE KATLI OTOPARKI ,"
  ÜMRANİYE
 "
 ANTALYA, 323 SOKAK," FIĞLA MAH. 323. SOKAK     
  ALANYA
 İSTANBUL, ADEM BABA ÖZEL OTO PARK," KÜLTÜR MAH. HAREMEYN SOK.  NO:5     
  BEŞİKTAŞ
 İSTANBUL, ALİ ÇEBİ CAD.," BARIŞ MAH. ALİ ÇEBİ CAD. MIGROS   
  BEYLİKDÜZÜ
 MUĞLA, ARTEMIS OTOPARK," OMURÇA MAH. ARTEMİS CAD. NO:21 D:C     
  BODRUM
 İSTANBUL, BAYAR CAD.," KOZYATAĞI MAH. BAYAR CAD. NO:103     
  KADIKÖY
 İSTANBUL, BİZİM TEPE OTOPARK," KURUÇEŞME MAH. YEŞİLPINAR SOK.      
 KAYSERI, BÜYÜKŞEHİR BELEDİYESİ," GÜNDOĞAN MAH. ŞEHİT MİRALAY NAZIMBEY SOKAK     
  KOCASİNAN
 İSTANBUL, ÇAĞRI," NİŞANCI MAH. PEYAMİ SAFA SOK.  NO:2     
  EYÜP
 ESKIŞEHIR, ÇINAR 1 OTOPARK," HOŞNUDİYE MAH. AMBARLAR SOKAK  NO:22     
  TEPEBAŞI
 DENIZLI, DENİZLİSPOR KATLI OTOPARK," ATALAR MAH. 1323. SOKAK NO:4    
  
 ESKIŞEHIR, ECEM OTOPARK," VİŞNELİK MAH. ÖĞRETMENLER CAD. NO:81     
  ODUNPAZARI
 İSTANBUL, ERAL SERVİCE," SANAYİ MAH. ERGENEKON SOK.  NO:117 D:C     
  GÜNGÖREN
 İSTANBUL, EVREN OTOPARK," TÜRKALİ MAH. IHLAMURDERE CAD. NO:125     
 İSTANBUL, FETHİPAŞA KORUSU,"
   ÜSKÜDAR 
 İSTANBUL, GÜLÜMOĞLU OTOPARK," NİŞANCI MAH. EYÜP SULTAN BULVARI NO:94     
 İSTANBUL, GÜLTEPE TALATPAŞA CD.,"
  KAĞITHANE
 KAHRAMANMARAŞ, GÜLPAK OTO," İSMET PAŞA MAH. TRABZON BULVARI NO:133    
 ŞANLURFA, GÜLİZAR OTOPARK," KADIOĞLU MAH. 12 EYLÜL CAD. NO:7    
 İSTANBUL, GÜLHANE PARKI ÖNÜ,"
  FATİH
 İSTANBUL, GÜLER OTOPARK," İNÖNÜ MAH. YENİ NALBANT SOKAK NO:4 D:A     
  ŞİŞLİ
 MERSIN, GÜLEÇ 1 OTOPARK," MESUDİYE MAH. 5107. SOKAK NO:5     
  AKDENİZ
 İSTANBUL, GÜLBAĞ KAPALI OTOPARKI," GÜLBAHAR MAH. BİBERİYE SOKAK NO:2     
 MERSIN, GÜL OTOPARK," YENİ MAH. 5315 SOKAK NO:29     
 İSTANBUL, GÜL OTOPARK," İSLAMBEY MAH. DURAK SOK.      
 İSTANBUL, GÜL GARAJI," GÜLBAHAR MAH. KARANFİL ÇIKMAZI SOKAK NO:22 D:A     
 ESKIŞEHIR, GÜÇLÜ KAPALI OTOPARKI," KIRMIZITOPRAK MAH. YILDIZ SOKAK NO:8    
 ESKIŞEHIR, GÜÇLÜ," HOŞNUDİYE MAH. KOLCU SOKAK NO:25 D:E ALİ APT   
 ANTALYA, GURTAS OTOPARK," MURATPAŞA MAH. 567. SOKAK NO:29 D:A     
  MURATPAŞA
 İSTANBUL, GURBETÇİLER OTOMOTİV OTOPARK," UĞUR MUMCU MAH. ESKİ LONDRA ASFALTI CAD.     
  SULTANGAZİ
 ANTALYA, GÖZDE OTOPARK," BALBEY MAH. 440. SOKAK NO:7 D:A     
 MERSIN, GÖZDE OTOPARK," CAMİ ŞERİF MAH. 5204. SOKAK NO:7 D:A     
 İSTANBUL, GÖKTUĞ OTOPARK," YENİBOSNA_MERKEZ MAH. KÖYCEĞİZ SOKAĞI NO:14     
  BAHÇELİEVLER
 ANTALYA, GÖKSU CAD.," GÜNDOĞDU MAH. GÖKSU CAD. NO:1 D:A     
  KEPEZ
 ANTALYA, GÖKKUŞAĞI SİTESİ OTOPARKI," PAMUK YERİ/KONAKLI MAH. GÖKKUŞAĞI CAD.     
 HATAY, GÖKKUŞAĞI," KURTULUŞ MAH. ŞEHIT PAMİR CAD. NO:45    
  İSKENDERUN
 MERSIN, GÖKÇEN OTOPARK," BAHÇE MAH. 4613. SOKAK NO:15     
 İSTANBUL, GÖKÇE OTOPARK," H.EDİP ADIVAR MAH. MELİKŞAH SOKAK NO:21 D:C     
 MUĞLA, GÖKBEL TUR," YOKUŞBAŞI MAH. KIBRIS ŞEHİTLERİ CAD. NO:48     
 İSTANBUL, GOPARK," MERKEZ MAH. CUMHURİYET MEYDANI     
  GAZİOSMANPAŞA
 İSTANBUL, GONCA CAD. İSPARK," LEVENT MAH. GONCA SOKAĞI     
 SAMSUN, GOLD OTEL OTOPARK," KALE MAH. MEVLEVİHANE CAD. GOLD OTEL   
  İLKADIM
 İSTANBUL, GİYİM KOOPERATİFİ SANAYİ SİTESİ OTOPARKI," ZİYAGÖKALP MAH.     GİYİM KOOPERATİFİ SANAYİ SİTESİ   
  BAŞAKŞEHİR
