sehir,isim,ilce,adres
İstanbul Oda ve Kahvaltı / Pansiyon,"
Hotel Pera Capitol
",> Beyoglu,AsmalI Mescit Sokak No 24
İstanbul Otelleri,"
Luxx Boutigue Hotel
",> Sultanahmet,"Hüdavendigar Cad. No:66 Sirkeci, Fatih"
İstanbul Özel Konaklamalar,"
Molton Hotel Nisantasi
",> Sisli,Halaskargazi Mah. Suleyman Nazif Sok No: 56
İstanbul Oda ve Kahvaltı / Pansiyon,"
Tamara Suite
",> Beyoglu,Kucuk Parmakkapi Sok No 14 Istiklal Caddesi
İstanbul Oda ve Kahvaltı / Pansiyon,"
Balkon Residences
",> Beyoglu,"Galipdede caddesi, Balkon cikmazi, sokak No 4"
İstanbul Oda ve Kahvaltı / Pansiyon,"
Istanbul Queen Apart Hotel
",> Sultanahmet,Alemdar Mah. Yerebatan Cad. No: 29-31 Sultanahmet
İstanbul Oda ve Kahvaltı / Pansiyon,"
Three Apples Suites
",> Beyoglu,Sehit Muhtar Mah. Corbaci Sok. No.7
İstanbul Otelleri,"
Daisy Hotel Istanbul
",> Sultanahmet,"Kucuk Ayasofya Caddesi, Cayiroglu Sok No 32"
İstanbul Özel Konaklamalar,"
Balat Suites
",> Fener & Balat,Cibali Mahhalesi Kadir Has Caddesi No:51
İstanbul Otelleri,"
Hotel Favori
",> Sisli,Mesrutiyet mah Matbaacı Osmanbey Sok No 11 Osmanbey-Sisli
İstanbul Otelleri,"
Hotel Sultan Hill
",> Sultanahmet,"Tavukhane Sok. No:19 Sultanahmet, Fatih"
İstanbul Otelleri,"
Oldcity Hotel Istanbul
",> Sultanahmet,Alaykosku caddesi No 1
İstanbul Otelleri,"
Hotel Centrum Istanbul
",> Sultanahmet,Hobyar Mah. Ibni Kemal Cad. No 28
İstanbul Otelleri,"
Bentley Hotel
",> Sisli,Halaskargazi Cad. No 23
İstanbul Otelleri,"
Azade Premier
",> Sultanahmet,Mimar Mehmet Aga Caddesi No.17/19
İstanbul Otelleri,"
Seres Hotel
",> Sultanahmet,Hudavendigar Caddesi 49
İstanbul Otelleri,"
Villa Pasha Hotel
",> Sultanahmet,"Cankurtaran Mahallesi Akbiyik Cad no:17 Sultanahmet, Fatih"
İstanbul Otelleri,"
Barın Hotel
",> Grand Bazaar,"Fevziye Cad. No:7 Vefa, Fatih"
İstanbul Otelleri,"
Port Hotel Tophane-i Amire
",> Karakoy,Kemankes Mah. Necatibey Cad. Gece Kusu Sk. No 6
İstanbul Otelleri,"
Dareyn Konak
",> Fener & Balat,"Kıztaşı Cad. Eski Saraçhane Sok. No:32 Fatih Merkez, Fatih"
