isim,tel,adres
Meze By Lemon Tree,0212 252 83 02 ,Meşrutiyet cad No:83
Mihri Restaurant,+90 212 517 7373,Cankurtaran Mahallesi Ayasofya MeydanI No:2 Fatih / Isanbul
Parsifal,0212 245 25 88,Kurabiye Sokak No: 9/A
Setustu Cay Bahceleri,"
",Gulhane Park
Backpacker's Pizza,+90 553 201 0300,"Bogazkesen Cad. No:96 Tophane, Inside Neverland Hostel"
Atelier Real Food,+90 212 334 4444,Askerocagi Cad. No:9
Vaha Cafe and Restaurant,+90212 517 34 24,Kucuk Ayasofya Mah. Sehit Mehmet
Altin cafe & restaurant,+(90)2125182861 ,Kucuk Ayasofya Mah Kadirga Liman Cad Camii Sk 7 Sultanahmet Fatih
Köşebaşı Taksim,+90 212 361 5900,Kocatepe Mah. Topcu Sok. No:16
Kucuk Ev Cafe Restaurant,00 90 511 33 43,Incili Çavuş Sk No 21
Erciyes Cafe,90-212 245 66 87,"Siraselviler Cad., 32/2"
Bella Mira,+90 543 828 1107,Sultanahmet Mah. Nakilbent Cad. no7/1
Maya's Corner,2125288991,"Alemdar Mh., Yerebatan Cd No:35, 34410 Fatih Istanbul"
Yaka Balık Restaurant,2125273889,Yeni Galata Köprüsü No:6
Tapasuma Restaurant,0216 4011333,Kuleli Caddesi No:43
Develi,+90 216 418 9400,Münir Nurettin Selçuk Caddesi Kalamış Yat Limanı
Faros Restaurant Taksim,0 212 297 60 77,Cumhuriyet Caddesi
Istanbul Sarayli Doner,2124858111,Ikitelli Osb Fatih Sanayi Sitesi Ataturk Bulvari Basaksehir
Happy Moon's,5500500,Fener Kalamis Cad. No:89
Kemal Usta Waffles,00902122636365,"Bebek Mh., Cevdet Pasa Cd No:75A Bebek"
Tuğra Kebap,4813969,Ademyavuz Mah. Sütçü Cad. No:88/E Ümraniye Merkez
Cafe Lumiere,+(90)5323401883,Kuloğlu Mah. Altıpatlar Sok. No :7 Beyoğlu-İstanbul
Virginia Angus,02122341525,"Tahtakale Mh., UzuncarsI Caddesi"
The Junction,+90 212 293 7067,Mesrutiyet Cd. Oteller Sk. No:1/3
Masal Restaurant,0212 511 29 22,İncili Çavuş Sok. No:29
Alzer Restaurant,212-516-6262,At Meydany No:72Sultanahmet
Sultan Hostel Restaurant Cafe,90 212 516 92 60,Akbiyik Cad no 21
